"","safe"
"avoid",0.19
"crime",0.18
"dangerous",0.17
"generally",0.17
"always",0.15
"common",0.15
"even",0.15
"police",0.15
"often",0.14
"security",0.14
"stay",0.14
"areas",0.13
"ask",0.13
"avoided",0.13
"keep",0.13
"usually",0.13
"alone",0.12
"careful",0.12
"drink",0.12
"drivers",0.12
"especially",0.12
"expensive",0.12
"extremely",0.12
"know",0.12
"locals",0.12
"money",0.12
"night",0.12
"rate",0.12
"risk",0.12
"sure",0.12
"use",0.12
"violent",0.12
"advised",0.11
"aware",0.11
"bars",0.11
"card",0.11
"caution",0.11
"cheap",0.11
"currency",0.11
"find",0.11
"highly",0.11
"need",0.11
"pay",0.11
"people",0.11
"problems",0.11
"relatively",0.11
"sometimes",0.11
"try",0.11
"unsafe",0.11
"violence",0.11
"visa",0.11
"will",0.11
"accept",0.1
"almost",0.1
"although",0.1
"best",0.1
"bottled",0.1
"care",0.1
"cases",0.1
"countries",0.1
"driver",0.1
"drunk",0.1
"due",0.1
"exchange",0.1
"expect",0.1
"foreign",0.1
"get",0.1
"language",0.1
"may",0.1
"might",0.1
"passport",0.1
"safest",0.1
"safety",0.1
"sim",0.1
"strongly",0.1
"tap",0.1
"taxi",0.1
"tend",0.1
"theft",0.1
"tourists",0.1
"valuables",0.1
"wear",0.1
"widely",0.1
"without",0.1
"applies",0.09
"armed",0.09
"atms",0.09
"buy",0.09
"cards",0.09
"carry",0.09
"cash",0.09
"citizens",0.09
"clubs",0.09
"companies",0.09
"compared",0.09
"cost",0.09
"credit",0.09
"criminal",0.09
"customary",0.09
"deposit",0.09
"embassy",0.09
"foreigners",0.09
"gay",0.09
"go",0.09
"government",0.09
"higher",0.09
"hotels",0.09
"illegal",0.09
"insurance",0.09
"internet",0.09
"legal",0.09
"less",0.09
"like",0.09
"likely",0.09
"make",0.09
"many",0.09
"medical",0.09
"mobile",0.09
"must",0.09
"never",0.09
"offer",0.09
"petty",0.09
"places",0.09
"price",0.09
"prices",0.09
"quite",0.09
"rarely",0.09
"rates",0.09
"require",0.09
"safer",0.09
"sell",0.09
"sense",0.09
"someone",0.09
"speak",0.09
"streets",0.09
"taxis",0.09
"tends",0.09
"traffic",0.09
"travel",0.09
"trying",0.09
"unless",0.09
"visas",0.09
"women",0.09
"work",0.09
"able",0.08
"accepted",0.08
"advisable",0.08
"african",0.08
"anything",0.08
"anywhere",0.08
"bring",0.08
"call",0.08
"certain",0.08
"cheaper",0.08
"check",0.08
"cities",0.08
"considered",0.08
"dark",0.08
"depending",0.08
"difficult",0.08
"dollars",0.08
"drinking",0.08
"drinks",0.08
"driving",0.08
"el",0.08
"emergency",0.08
"english",0.08
"ensure",0.08
"european",0.08
"extra",0.08
"feel",0.08
"flights",0.08
"food",0.08
"give",0.08
"going",0.08
"good",0.08
"groups",0.08
"help",0.08
"hospitals",0.08
"however",0.08
"issue",0.08
"least",0.08
"leave",0.08
"longer",0.08
"look",0.08
"low",0.08
"means",0.08
"much",0.08
"next",0.08
"occur",0.08
"offices",0.08
"official",0.08
"operators",0.08
"paid",0.08
"parts",0.08
"paying",0.08
"phones",0.08
"political",0.08
"poor",0.08
"prepaid",0.08
"prepared",0.08
"problem",0.08
"put",0.08
"recent",0.08
"reliable",0.08
"remember",0.08
"republic",0.08
"required",0.08
"roads",0.08
"rules",0.08
"say",0.08
"serious",0.08
"similar",0.08
"since",0.08
"situation",0.08
"strong",0.08
"talking",0.08
"though",0.08
"throughout",0.08
"traveling",0.08
"uncommon",0.08
"understand",0.08
"unheard",0.08
"unlikely",0.08
"want",0.08
"warning",0.08
"water",0.08
"wearing",0.08
"'re",0.07
"alcohol",0.07
"another",0.07
"asking",0.07
"assume",0.07
"beaches",0.07
"budget",0.07
"cause",0.07
"charge",0.07
"cheapest",0.07
"clean",0.07
"consider",0.07
"crowded",0.07
"domestic",0.07
"eat",0.07
"enter",0.07
"friendly",0.07
"getting",0.07
"guards",0.07
"heavy",0.07
"idea",0.07
"inside",0.07
"insist",0.07
"issued",0.07
"law",0.07
"laws",0.07
"level",0.07
"lot",0.07
"majority",0.07
"mind",0.07
"normal",0.07
"normally",0.07
"note",0.07
"obtain",0.07
"others",0.07
"outside",0.07
"payment",0.07
"per",0.07
"politics",0.07
"really",0.07
"rule",0.07
"seem",0.07
"shopping",0.07
"social",0.07
"start",0.07
"stick",0.07
"still",0.07
"swimming",0.07
"talk",0.07
"tax",0.07
"tell",0.07
"things",0.07
"time",0.07
"tipping",0.07
"tourist",0.07
"transport",0.07
"tropical",0.07
"types",0.07
"typically",0.07
"unlike",0.07
"vendors",0.07
"wary",0.07
"young",0.07
