"","sandwiches"
"deli",0.2
"menu",0.18
"lunch",0.16
"salads",0.16
"pizza",0.15
"sandwich",0.14
"homemade",0.13
"restaurant",0.13
"seating",0.13
"selection",0.13
"specials",0.13
"baked",0.12
"bar",0.12
"burgers",0.12
"cafe",0.12
"casual",0.12
"cream",0.12
"dining",0.12
"dinner",0.12
"italian",0.12
"live",0.12
"street",0.12
"variety",0.12
"bakery",0.11
"breakfast",0.11
"coffee",0.11
"downtown",0.11
"favorite",0.11
"featuring",0.11
"food",0.11
"fresh",0.11
"open",0.11
"serves",0.11
"shop",0.11
"atmosphere",0.1
"ave",0.1
"classic",0.1
"delicious",0.1
"great",0.1
"ice",0.1
"inn",0.1
"outdoor",0.1
"patio",0.1
"rd",0.1
"store",0.1
"take-",0.1
"american",0.09
"buffet",0.09
"crowd",0.09
"decor",0.09
"delivery",0.09
"features",0.09
"free",0.09
"gourmet",0.09
"grill",0.09
"mexican",0.09
"music",0.09
"offers",0.09
"pasta",0.09
"pastries",0.09
"phone",0.09
"seafood",0.09
"specialty",0.09
"st",0.09
"suites",0.09
"upscale",0.09
"vegan",0.09
"authentic",0.08
"avenue",0.08
"beer",0.08
"best",0.08
"bistro",0.08
"blvd",0.08
"cuisine",0.08
"desserts",0.08
"dishes",0.08
"dr",0.08
"entrees",0.08
"everything",0.08
"f-sa",0.08
"family",0.08
"fine",0.08
"friday",0.08
"fries",0.08
"full",0.08
"house",0.08
"indoor",0.08
"parking",0.08
"pub",0.08
"quick",0.08
"saturday",0.08
"selections",0.08
"serving",0.08
"soups",0.08
"su",0.08
"sushi",0.08
"art",0.07
"artisan",0.07
"beef",0.07
"brunch",0.07
"chicken",0.07
"clothing",0.07
"college",0.07
"diner",0.07
"fun",0.07
"goods",0.07
"items",0.07
"jewelry",0.07
"meat",0.07
"owned",0.07
"pizzas",0.07
"shopping",0.07
"signature",0.07
"steak",0.07
"steaks",0.07
"students",0.07
"wine",0.07
