"","school"
"elementary",0.22
"students",0.18
"high",0.15
"classes",0.12
"schools",0.12
"university",0.11
"children",0.1
"education",0.1
"arts",0.09
"baseball",0.09
"building",0.09
"campus",0.09
"college",0.09
"girls",0.09
"house",0.09
"library",0.09
"programs",0.09
"student",0.09
"art",0.08
"basketball",0.08
"concerts",0.08
"courses",0.08
"family",0.08
"first",0.08
"founded",0.08
"kids",0.08
"pizza",0.08
"program",0.08
"society",0.08
"sports",0.08
"street",0.08
"teach",0.08
"teaching",0.08
"music",0.07
"named",0.07
"public",0.07
"shop",0.07
"shows",0.07
