"","sea"
"beach",0.23
"resort",0.22
"coast",0.19
"beaches",0.18
"port",0.18
"sandy",0.18
"island",0.17
"seaside",0.17
"coastal",0.14
"fish",0.14
"islands",0.14
"marine",0.14
"coastline",0.13
"ferry",0.13
"turtles",0.13
"coral",0.12
"diving",0.12
"dunes",0.12
"ferries",0.12
"fishing",0.12
"harbour",0.12
"meters",0.12
"sand",0.12
"worldwide",0.12
"bay",0.11
"biggest",0.11
"boat",0.11
"boats",0.11
"level",0.11
"mainland",0.11
"peninsula",0.11
"resorts",0.11
"shells",0.11
"snorkeling",0.11
"black",0.1
"cliff",0.1
"dive",0.1
"europe",0.1
"inland",0.1
"lighthouse",0.1
"seafood",0.1
"clear",0.09
"cliffs",0.09
"fishermen",0.09
"greek",0.09
"long",0.09
"marina",0.09
"medieval",0.09
"metres",0.09
"nesting",0.09
"ottoman",0.09
"pier",0.09
"plane",0.09
"reef",0.09
"reefs",0.09
"rent",0.09
"scuba",0.09
"seafront",0.09
"seals",0.09
"shallow",0.09
"ships",0.09
"swim",0.09
"view",0.09
"waters",0.09
"waves",0.09
"ancient",0.08
"apartments",0.08
"coconut",0.08
"european",0.08
"fresh",0.08
"island's",0.08
"kayaking",0.08
"longest",0.08
"maritime",0.08
"meter",0.08
"ocean",0.08
"rocky",0.08
"sailing",0.08
"season",0.08
"summer",0.08
"tip",0.08
"tropical",0.08
"turkish",0.08
"villas",0.08
"water",0.08
"aquarium",0.07
"arabian",0.07
"climate",0.07
"divers",0.07
"dolphins",0.07
"harbor",0.07
"kayak",0.07
"lagoon",0.07
"mild",0.07
"natural",0.07
"panoramic",0.07
"popular",0.07
"promenade",0.07
"shore",0.07
"underwater",0.07
"views",0.07
"whale",0.07
"white",0.07
"yacht",0.07
