"","season"
"rainy",0.22
"low",0.14
"dry",0.13
"high",0.13
"depending",0.12
"peak",0.12
"months",0.11
"november",0.11
"summer",0.11
"winter",0.11
"june",0.1
"per",0.1
"vary",0.1
"available",0.09
"book",0.09
"booking",0.09
"day",0.09
"may",0.09
"monsoon",0.09
"offer",0.09
"pay",0.09
"prices",0.09
"rent",0.09
"room",0.09
"water",0.09
"wet",0.09
"always",0.08
"april",0.08
"beach",0.08
"boat",0.08
"bungalows",0.08
"cool",0.08
"even",0.08
"free",0.08
"full",0.08
"hospitable",0.08
"hot",0.08
"hotels",0.08
"humid",0.08
"internet",0.08
"lifts",0.08
"october",0.08
"price",0.08
"private",0.08
"resort",0.08
"rooms",0.08
"sea",0.08
"ski",0.08
"snow",0.08
"stay",0.08
"time",0.08
"tourist",0.08
"tropical",0.08
"usually",0.08
"year",0.08
"come",0.07
"days",0.07
"double",0.07
"fee",0.07
"find",0.07
"higher",0.07
"january",0.07
"late",0.07
"night",0.07
"often",0.07
"open",0.07
"range",0.07
"rates",0.07
"rental",0.07
"return",0.07
"skiing",0.07
"tourists",0.07
"weather",0.07
"whale",0.07
