"","second"
"largest",0.19
"first",0.15
"floor",0.14
"third",0.12
"war",0.11
"world",0.11
"important",0.1
"became",0.09
"biggest",0.09
"built",0.09
"capital",0.09
"english",0.09
"european",0.09
"now",0.09
"numbers",0.09
"oldest",0.09
"russian",0.09
"signage",0.09
"still",0.09
"building",0.08
"city",0.08
"city's",0.08
"class",0.08
"code",0.08
"cultural",0.08
"especially",0.08
"europe",0.08
"history",0.08
"industrial",0.08
"language",0.08
"original",0.08
"part",0.08
"pay",0.08
"since",0.08
"speak",0.08
"two",0.08
"avoid",0.07
"century",0.07
"cities",0.07
"every",0.07
"foreign",0.07
"hand",0.07
"kingdom",0.07
"may",0.07
"meat",0.07
"modern",0.07
"music",0.07
"requires",0.07
"shopping",0.07
"style",0.07
"university",0.07
"urban",0.07
"used",0.07
