"","shared"
"bathroom",0.21
"taxis",0.19
"rooms",0.18
"double",0.16
"taxi",0.16
"bathrooms",0.13
"dorm",0.13
"room",0.13
"clean",0.12
"cost",0.12
"per",0.12
"ask",0.11
"costs",0.11
"guesthouse",0.11
"hostel",0.11
"leave",0.11
"person",0.11
"price",0.11
"private",0.11
"driver",0.1
"internet",0.1
"pay",0.1
"shower",0.1
"arrange",0.09
"basic",0.09
"bath",0.09
"calle",0.09
"cheap",0.09
"drivers",0.09
"friendly",0.09
"homestay",0.09
"morning",0.09
"night",0.09
"owner",0.09
"prices",0.09
"single",0.09
"staff",0.09
"toilet",0.09
"tv",0.09
"wifi",0.09
"air-con",0.08
"around",0.08
"bags",0.08
"bazaar",0.08
"blocks",0.08
"budget",0.08
"buses",0.08
"charge",0.08
"dorms",0.08
"foreigners",0.08
"front",0.08
"give",0.08
"laundry",0.08
"money",0.08
"showers",0.08
"simple",0.08
"speaks",0.08
"trip",0.08
"visa",0.08
"wait",0.08
"walk",0.08
"wi-fi",0.08
"beds",0.07
"bit",0.07
"block",0.07
"breakfast",0.07
"buy",0.07
"cheaper",0.07
"depending",0.07
"fee",0.07
"floor",0.07
"get",0.07
"help",0.07
"helpful",0.07
"hot",0.07
"hotel",0.07
"kitchen",0.07
"leaves",0.07
"leaving",0.07
"make",0.07
"may",0.07
"minibus",0.07
"next",0.07
"nice",0.07
"try",0.07
"will",0.07
"women",0.07
