"","shiva"
"lord",0.4
"temple",0.34
"hindu",0.24
"temples",0.23
"tamil",0.21
"india",0.17
"goddess",0.16
"temple'''",0.16
"believed",0.15
"kms",0.15
"raja",0.15
"popularly",0.13
"holy",0.12
"indian",0.12
"vegetarian",0.12
"connected",0.11
"dedicated",0.11
"mumbai",0.11
"pilgrimage",0.11
"said",0.11
"stand",0.11
"worship",0.11
"km",0.1
"rulers",0.1
"sri",0.1
"banks",0.09
"conducted",0.09
"district",0.09
"famous",0.09
"gathering",0.09
"pilgrims",0.09
"rickshaws",0.09
"rs",0.09
"sacred",0.09
"shrine",0.09
"arabian",0.08
"auto",0.08
"celebrated",0.08
"medicinal",0.08
"nominal",0.08
"railway",0.08
"shrines",0.08
"aggressive",0.07
"called",0.07
"feet",0.07
"god",0.07
"known",0.07
"nearest",0.07
"non",0.07
"performed",0.07
"present",0.07
"serene",0.07
