"","short"
"walk",0.18
"distance",0.16
"ride",0.12
"drive",0.11
"may",0.1
"often",0.1
"term",0.1
"across",0.09
"available",0.09
"away",0.09
"even",0.09
"just",0.09
"longer",0.09
"minute",0.09
"much",0.09
"note",0.09
"trip",0.09
"views",0.09
"without",0.09
"although",0.08
"always",0.08
"back",0.08
"drivers",0.08
"every",0.08
"excellent",0.08
"extra",0.08
"free",0.08
"friendly",0.08
"generally",0.08
"good",0.08
"journey",0.08
"less",0.08
"long",0.08
"look",0.08
"make",0.08
"number",0.08
"offer",0.08
"outside",0.08
"prices",0.08
"range",0.08
"shops",0.08
"slightly",0.08
"staff",0.08
"sure",0.08
"taking",0.08
"usually",0.08
"walking",0.08
"will",0.08
"within",0.08
"worth",0.08
"along",0.07
"avoid",0.07
"best",0.07
"better",0.07
"carry",0.07
"day",0.07
"days",0.07
"difficult",0.07
"driver",0.07
"easy",0.07
"either",0.07
"end",0.07
"expect",0.07
"expensive",0.07
"feel",0.07
"find",0.07
"hour",0.07
"keep",0.07
"makes",0.07
"passport",0.07
"provide",0.07
"require",0.07
"time",0.07
"top",0.07
"trips",0.07
"visitors",0.07
"want",0.07
