"","side"
"right",0.14
"left",0.13
"across",0.11
"either",0.11
"hand",0.11
"look",0.11
"opposite",0.11
"walk",0.11
"ask",0.1
"back",0.1
"front",0.1
"just",0.1
"next",0.1
"pay",0.1
"'re",0.09
"along",0.09
"behind",0.09
"border",0.09
"crossing",0.09
"east",0.09
"end",0.09
"go",0.09
"leave",0.09
"may",0.09
"often",0.09
"prices",0.09
"sides",0.09
"usually",0.09
"will",0.09
"without",0.09
"'ll",0.08
"'s",0.08
"another",0.08
"better",0.08
"bit",0.08
"block",0.08
"budget",0.08
"charge",0.08
"cheap",0.08
"cost",0.08
"driver",0.08
"entrance",0.08
"expect",0.08
"find",0.08
"free",0.08
"going",0.08
"keep",0.08
"little",0.08
"locals",0.08
"make",0.08
"nice",0.08
"night",0.08
"passport",0.08
"rooms",0.08
"see",0.08
"sign",0.08
"sometimes",0.08
"streets",0.08
"sure",0.08
"take",0.08
"top",0.08
"traffic",0.08
"try",0.08
"turn",0.08
"two",0.08
"view",0.08
"views",0.08
"wait",0.08
"want",0.08
"western",0.08
"worth",0.08
"accept",0.07
"always",0.07
"around",0.07
"atms",0.07
"bridge",0.07
"bring",0.07
"building",0.07
"cheaper",0.07
"clean",0.07
"corner",0.07
"cross",0.07
"drivers",0.07
"english",0.07
"especially",0.07
"excellent",0.07
"expensive",0.07
"extra",0.07
"facing",0.07
"food",0.07
"get",0.07
"give",0.07
"inside",0.07
"internet",0.07
"long",0.07
"menu",0.07
"might",0.07
"near",0.07
"need",0.07
"office",0.07
"outside",0.07
"owner",0.07
"pick",0.07
"quite",0.07
"road",0.07
"room",0.07
"section",0.07
"staff",0.07
"though",0.07
"trip",0.07
"west",0.07
