"","signs"
"follow",0.36
"turn",0.12
"exit",0.11
"left",0.1
"pointing",0.1
"right",0.1
"towards",0.1
"direction",0.09
"look",0.09
"marked",0.09
"onto",0.09
"roundabout",0.09
"sign",0.09
"take",0.09
"brown",0.08
"continue",0.08
"english",0.08
"indicate",0.08
"keep",0.08
"parking",0.08
"saying",0.08
"sometimes",0.08
"traffic",0.08
"walk",0.08
"warning",0.08
"aware",0.07
"drivers",0.07
"even",0.07
"following",0.07
"indicating",0.07
"names",0.07
"note",0.07
"numbers",0.07
"printed",0.07
"use",0.07
"will",0.07
