"","similar"
"generally",0.13
"often",0.13
"common",0.12
"countries",0.12
"even",0.12
"language",0.12
"usually",0.12
"avoid",0.11
"compared",0.11
"currency",0.11
"especially",0.11
"foreign",0.11
"found",0.11
"much",0.11
"official",0.11
"tend",0.11
"visa",0.11
"widely",0.11
"accept",0.1
"almost",0.1
"always",0.1
"areas",0.1
"citizens",0.1
"dialect",0.1
"dialects",0.1
"english",0.1
"expect",0.1
"expensive",0.1
"instead",0.1
"least",0.1
"less",0.1
"like",0.1
"may",0.1
"might",0.1
"mixed",0.1
"pay",0.1
"prepaid",0.1
"rarely",0.1
"rate",0.1
"sim",0.1
"smaller",0.1
"sometimes",0.1
"speak",0.1
"standard",0.1
"though",0.1
"visas",0.1
"without",0.1
"able",0.09
"accepted",0.09
"alcohol",0.09
"although",0.09
"apply",0.09
"better",0.09
"buying",0.09
"card",0.09
"cards",0.09
"charge",0.09
"cheap",0.09
"cheaper",0.09
"climate",0.09
"considered",0.09
"dish",0.09
"driver",0.09
"drivers",0.09
"due",0.09
"embassy",0.09
"european",0.09
"exchange",0.09
"government",0.09
"illegal",0.09
"keep",0.09
"languages",0.09
"legal",0.09
"meat",0.09
"note",0.09
"notes",0.09
"ones",0.09
"others",0.09
"paying",0.09
"people",0.09
"police",0.09
"political",0.09
"prices",0.09
"quite",0.09
"refuse",0.09
"republic",0.09
"situation",0.09
"slightly",0.09
"somewhat",0.09
"still",0.09
"strong",0.09
"sure",0.09
"tipping",0.09
"try",0.09
"typical",0.09
"typically",0.09
"unlike",0.09
"use",0.09
"valid",0.09
"accompany",0.08
"added",0.08
"ask",0.08
"atms",0.08
"aware",0.08
"bottled",0.08
"bottles",0.08
"brands",0.08
"calls",0.08
"certain",0.08
"cities",0.08
"consider",0.08
"cost",0.08
"crime",0.08
"culture",0.08
"difficult",0.08
"drink",0.08
"eaten",0.08
"elsewhere",0.08
"ethnic",0.08
"eu",0.08
"exception",0.08
"find",0.08
"foreigners",0.08
"fried",0.08
"health",0.08
"higher",0.08
"idea",0.08
"insist",0.08
"insurance",0.08
"know",0.08
"larger",0.08
"locals",0.08
"long",0.08
"made",0.08
"make",0.08
"means",0.08
"mobile",0.08
"money",0.08
"mostly",0.08
"must",0.08
"normal",0.08
"offices",0.08
"parts",0.08
"passport",0.08
"polite",0.08
"pork",0.08
"prepared",0.08
"price",0.08
"red",0.08
"relatively",0.08
"require",0.08
"respect",0.08
"safe",0.08
"sell",0.08
"spoken",0.08
"travel",0.08
"trying",0.08
"unless",0.08
"used",0.08
"using",0.08
"violent",0.08
"words",0.08
"work",0.08
"aid",0.07
"among",0.07
"another",0.07
"applies",0.07
"back",0.07
"bit",0.07
"carry",0.07
"case",0.07
"cash",0.07
"coins",0.07
"companies",0.07
"despite",0.07
"different",0.07
"domestic",0.07
"drinking",0.07
"drunk",0.07
"entering",0.07
"equivalent",0.07
"extremely",0.07
"far",0.07
"form",0.07
"fruit",0.07
"give",0.07
"help",0.07
"likely",0.07
"look",0.07
"majority",0.07
"making",0.07
"menus",0.07
"modern",0.07
"need",0.07
"never",0.07
"normally",0.07
"numbers",0.07
"offer",0.07
"plan",0.07
"rates",0.07
"rather",0.07
"regions",0.07
"rule",0.07
"simply",0.07
"tends",0.07
"tickets",0.07
"type",0.07
"urban",0.07
"version",0.07
"wait",0.07
