"","sit"
"watch",0.14
"food",0.11
"place",0.11
"back",0.1
"buy",0.1
"delicious",0.1
"drinks",0.1
"enjoy",0.1
"feel",0.1
"make",0.1
"nice",0.1
"outside",0.1
"prices",0.1
"sure",0.1
"will",0.1
"atmosphere",0.09
"bar",0.09
"cafes",0.09
"chairs",0.09
"drink",0.09
"expensive",0.09
"find",0.09
"friendly",0.09
"get",0.09
"go",0.09
"great",0.09
"just",0.09
"look",0.09
"pay",0.09
"right",0.09
"try",0.09
"always",0.08
"ask",0.08
"beer",0.08
"bring",0.08
"cost",0.08
"cream",0.08
"eat",0.08
"everything",0.08
"good",0.08
"little",0.08
"looking",0.08
"meal",0.08
"menu",0.08
"night",0.08
"offer",0.08
"places",0.08
"price",0.08
"really",0.08
"relax",0.08
"room",0.08
"selection",0.08
"sell",0.08
"staff",0.08
"tables",0.08
"usually",0.08
"walk",0.08
"want",0.08
"bars",0.07
"best",0.07
"bit",0.07
"cafe",0.07
"cheap",0.07
"coffee",0.07
"fresh",0.07
"like",0.07
"locals",0.07
"need",0.07
"restaurant",0.07
"ride",0.07
"shoes",0.07
"shops",0.07
"sitting",0.07
"take",0.07
"wait",0.07
"walking",0.07
