"","ski"
"skiing",0.43
"lifts",0.36
"slopes",0.31
"lift",0.3
"snow",0.29
"winter",0.28
"alpine",0.27
"mountain",0.24
"resort",0.22
"resorts",0.18
"alps",0.14
"downhill",0.14
"terrain",0.14
"equipment",0.13
"mountains",0.13
"beginner",0.12
"beginners",0.12
"chalets",0.12
"hiking",0.12
"nordic",0.12
"trails",0.12
"advanced",0.11
"chair",0.11
"les",0.11
"slope",0.11
"summer",0.11
"biking",0.1
"gear",0.1
"highest",0.1
"peaks",0.1
"powder",0.1
"activities",0.09
"lodge",0.09
"outdoor",0.09
"valley",0.09
"cable",0.08
"climbing",0.08
"glacier",0.08
"pass",0.08
"rentals",0.08
"season",0.08
"shuttles",0.08
"skating",0.08
"sports",0.08
"vertical",0.08
"wilderness",0.08
"mount",0.07
"olympic",0.07
"peak",0.07
"rental",0.07
"snowfall",0.07
"snowy",0.07
