"","skiing"
"ski",0.43
"snow",0.25
"winter",0.25
"alpine",0.2
"lift",0.2
"lifts",0.2
"slopes",0.2
"mountain",0.19
"hiking",0.16
"downhill",0.15
"mountains",0.12
"summer",0.12
"biking",0.11
"nordic",0.11
"trails",0.11
"glacier",0.1
"resort",0.1
"activities",0.09
"advanced",0.09
"beginners",0.09
"resorts",0.09
"slope",0.09
"sports",0.09
"terrain",0.09
"alps",0.08
"altitude",0.08
"austrian",0.08
"beginner",0.08
"climbing",0.08
"conditions",0.08
"equipment",0.08
"powder",0.08
"sauna",0.08
"skating",0.08
"chalets",0.07
"highest",0.07
"norwegian",0.07
"peak",0.07
"season",0.07
"vertical",0.07
