"","snorkeling"
"dive",0.32
"diving",0.32
"reef",0.31
"scuba",0.28
"snorkel",0.28
"coral",0.25
"divers",0.21
"dives",0.21
"island",0.2
"padi",0.2
"reefs",0.18
"sharks",0.18
"turtles",0.17
"beach",0.16
"marine",0.16
"tropical",0.16
"caribbean",0.14
"underwater",0.14
"beachfront",0.13
"boat",0.13
"gear",0.13
"islands",0.13
"mangrove",0.13
"resort",0.13
"resorts",0.13
"shark",0.13
"beaches",0.12
"shallow",0.12
"adventures",0.11
"puerto",0.11
"rum",0.11
"sea",0.11
"swim",0.11
"dolphin",0.1
"dolphins",0.1
"fish",0.1
"kayaking",0.1
"pristine",0.1
"rent",0.1
"sandy",0.1
"waters",0.1
"certified",0.09
"clear",0.09
"coconut",0.09
"equipment",0.09
"kayak",0.09
"ocean",0.09
"offshore",0.09
"playa",0.09
"shells",0.09
"trips",0.09
"villas",0.09
"water",0.09
"boats",0.08
"bungalows",0.08
"costa",0.08
"island'''",0.08
"operators",0.08
"sand",0.08
"turtle",0.08
"visibility",0.08
"whale",0.08
"white",0.08
"activities",0.07
"barrier",0.07
"bay",0.07
"island's",0.07
"lagoon",0.07
"packages",0.07
"paradise",0.07
"rental",0.07
"surfing",0.07
