"","snow"
"ski",0.29
"winter",0.26
"skiing",0.25
"alpine",0.18
"mountain",0.18
"lift",0.16
"lifts",0.16
"slopes",0.16
"terrain",0.15
"chains",0.14
"mountains",0.13
"snowfall",0.13
"weather",0.13
"altitude",0.12
"conditions",0.12
"ice",0.12
"peaks",0.12
"winters",0.12
"beginner",0.11
"pass",0.1
"summer",0.1
"climbing",0.09
"freezing",0.09
"gear",0.09
"heavy",0.09
"highest",0.09
"mount",0.09
"powder",0.09
"summers",0.09
"advanced",0.08
"cold",0.08
"driving",0.08
"elevation",0.08
"equipment",0.08
"fall",0.08
"glacier",0.08
"hiking",0.08
"norwegian",0.08
"peak",0.08
"resort",0.08
"season",0.08
"storms",0.08
"trail",0.08
"trails",0.08
"areas",0.07
"beginners",0.07
"crest",0.07
"hike",0.07
"mt",0.07
"slope",0.07
"year",0.07
