"","soup"
"noodle",0.22
"spicy",0.17
"fried",0.15
"pork",0.14
"bean",0.13
"beef",0.13
"dish",0.13
"dishes",0.13
"meat",0.13
"noodles",0.13
"sauce",0.13
"egg",0.12
"milk",0.12
"dried",0.11
"indonesian",0.11
"made",0.11
"rice",0.11
"sour",0.11
"chicken",0.1
"chinese",0.1
"cooked",0.1
"culinary",0.1
"pepper",0.1
"seasoned",0.1
"steamed",0.1
"boiled",0.09
"fermented",0.09
"food",0.09
"lamb",0.09
"meal",0.09
"salad",0.09
"slices",0.09
"thick",0.09
"bacon",0.08
"coconut",0.08
"delicacies",0.08
"eaten",0.08
"grilled",0.08
"menu",0.08
"mixed",0.08
"peanut",0.08
"shrimp",0.08
"try",0.08
"usually",0.08
"vietnamese",0.08
"fruit",0.07
"garlic",0.07
"instead",0.07
"mandarin",0.07
"price",0.07
"raw",0.07
"served",0.07
"sweet",0.07
"taste",0.07
"vegetable",0.07
