"","speak"
"english",0.36
"language",0.32
"people",0.24
"spoken",0.24
"dialect",0.21
"drivers",0.18
"languages",0.18
"speaking",0.18
"speakers",0.17
"taught",0.16
"understand",0.16
"fluent",0.15
"foreign",0.15
"official",0.15
"often",0.15
"staff",0.15
"widely",0.15
"will",0.15
"able",0.14
"common",0.14
"dialects",0.14
"especially",0.14
"even",0.14
"know",0.14
"usually",0.14
"may",0.13
"might",0.13
"sometimes",0.13
"speaks",0.13
"words",0.13
"ask",0.12
"cities",0.12
"countries",0.12
"driver",0.12
"european",0.12
"generally",0.12
"likely",0.12
"locals",0.12
"mandarin",0.12
"visa",0.12
"younger",0.12
"always",0.11
"capital",0.11
"cost",0.11
"currency",0.11
"elsewhere",0.11
"expect",0.11
"find",0.11
"foreigners",0.11
"german",0.11
"hard",0.11
"help",0.11
"least",0.11
"majority",0.11
"money",0.11
"much",0.11
"passport",0.11
"pay",0.11
"problems",0.11
"regions",0.11
"sim",0.11
"someone",0.11
"standard",0.11
"though",0.11
"try",0.11
"accept",0.1
"almost",0.1
"avoid",0.1
"cheap",0.1
"citizens",0.1
"difficult",0.1
"ethnic",0.1
"exchange",0.1
"instead",0.1
"knowledge",0.1
"make",0.1
"many",0.1
"native",0.1
"price",0.1
"republic",0.1
"say",0.1
"similar",0.1
"understood",0.1
"unless",0.1
"young",0.1
"airlines",0.09
"although",0.09
"asking",0.09
"basic",0.09
"better",0.09
"bilingual",0.09
"border",0.09
"card",0.09
"cards",0.09
"cheaper",0.09
"costs",0.09
"crime",0.09
"dish",0.09
"embassy",0.09
"expensive",0.09
"government",0.09
"keep",0.09
"like",0.09
"meat",0.09
"mobile",0.09
"need",0.09
"parts",0.09
"police",0.09
"political",0.09
"prices",0.09
"probably",0.09
"region",0.09
"russian",0.09
"safe",0.09
"schools",0.09
"smaller",0.09
"sure",0.09
"taxis",0.09
"tend",0.09
"tourists",0.09
"use",0.09
"visas",0.09
"want",0.09
"widespread",0.09
"without",0.09
"accepted",0.08
"another",0.08
"anywhere",0.08
"aware",0.08
"borders",0.08
"buy",0.08
"called",0.08
"can",0.08
"careful",0.08
"case",0.08
"charge",0.08
"chinese",0.08
"consider",0.08
"consulate",0.08
"domestic",0.08
"encounter",0.08
"europe",0.08
"exception",0.08
"far",0.08
"flights",0.08
"french",0.08
"generation",0.08
"give",0.08
"idea",0.08
"illegal",0.08
"larger",0.08
"learn",0.08
"learning",0.08
"look",0.08
"lot",0.08
"means",0.08
"mind",0.08
"mostly",0.08
"negotiate",0.08
"numbers",0.08
"older",0.08
"pork",0.08
"practice",0.08
"problem",0.08
"province",0.08
"provinces",0.08
"quite",0.08
"rarely",0.08
"rate",0.08
"rather",0.08
"relatively",0.08
"remote",0.08
"rule",0.08
"second",0.08
"soviet",0.08
"spanish",0.08
"still",0.08
"tap",0.08
"taxi",0.08
"tell",0.08
"tourist",0.08
"travel",0.08
"trying",0.08
"using",0.08
"version",0.08
"violent",0.08
"word",0.08
"written",0.08
"accent",0.07
"air",0.07
"among",0.07
"apply",0.07
"areas",0.07
"arrive",0.07
"beware",0.07
"buying",0.07
"commonly",0.07
"communist",0.07
"culture",0.07
"different",0.07
"dominant",0.07
"drink",0.07
"eaten",0.07
"eu",0.07
"everyone",0.07
"finding",0.07
"form",0.07
"go",0.07
"hail",0.07
"hear",0.07
"helpful",0.07
"higher",0.07
"hong",0.07
"knowing",0.07
"leave",0.07
"less",0.07
"natives",0.07
"normally",0.07
"note",0.07
"remember",0.07
"require",0.07
"russia",0.07
"simply",0.07
"slow",0.07
"somewhat",0.07
"throughout",0.07
"tipping",0.07
"unlike",0.07
"unlikely",0.07
"vice",0.07
"women",0.07
"work",0.07
