"","specials"
"lunch",0.17
"menu",0.17
"bar",0.13
"happy",0.13
"sandwiches",0.13
"dinner",0.12
"favorite",0.12
"appetizers",0.11
"beers",0.11
"patio",0.11
"selection",0.11
"affordable",0.1
"diner",0.1
"dining",0.1
"downtown",0.1
"features",0.1
"food",0.1
"great",0.1
"live",0.1
"nightly",0.1
"open",0.1
"pizza",0.1
"sushi",0.1
"american",0.09
"atmosphere",0.09
"blvd",0.09
"breakfast",0.09
"casual",0.09
"entrees",0.09
"free",0.09
"full",0.09
"gourmet",0.09
"grill",0.09
"inn",0.09
"italian",0.09
"mexican",0.09
"music",0.09
"offers",0.09
"outdoor",0.09
"pool",0.09
"restaurant",0.09
"shop",0.09
"soups",0.09
"street",0.09
"students",0.09
"take-",0.09
"variety",0.09
"ave",0.08
"beer",0.08
"cafe",0.08
"campus",0.08
"children's",0.08
"college",0.08
"delicious",0.08
"drink",0.08
"eclectic",0.08
"favorites",0.08
"featured",0.08
"featuring",0.08
"fresh",0.08
"friday",0.08
"fun",0.08
"homemade",0.08
"parking",0.08
"salads",0.08
"saturday",0.08
"seating",0.08
"serves",0.08
"suites",0.08
"tables",0.08
"upscale",0.08
"avenue",0.07
"family",0.07
"indoor",0.07
"irish",0.07
"night",0.07
"nights",0.07
"pasta",0.07
"phone",0.07
"pub",0.07
"store",0.07
"theater",0.07
"thursday",0.07
"weekly",0.07
