"","specialty"
"downtown",0.12
"baked",0.11
"authentic",0.1
"features",0.1
"flavors",0.1
"homemade",0.1
"menu",0.1
"selection",0.1
"dining",0.09
"featuring",0.09
"mall",0.09
"offers",0.09
"sandwiches",0.09
"seafood",0.09
"store",0.09
"stores",0.09
"variety",0.09
"ave",0.08
"dinner",0.08
"entrees",0.08
"favorite",0.08
"foods",0.08
"fresh",0.08
"gifts",0.08
"gourmet",0.08
"indoor",0.08
"italian",0.08
"live",0.08
"lunch",0.08
"pizza",0.08
"signature",0.08
"upscale",0.08
"avenue",0.07
"chicken",0.07
"cuisine",0.07
"deli",0.07
"food",0.07
"herbs",0.07
"inn",0.07
"items",0.07
"outdoor",0.07
"restaurant",0.07
"roasted",0.07
"salads",0.07
"street",0.07
"suites",0.07
"university",0.07
