"","speed"
"limit",0.31
"high",0.18
"limits",0.18
"cameras",0.15
"exceed",0.13
"drivers",0.11
"internet",0.11
"traffic",0.11
"fines",0.1
"rules",0.1
"assume",0.09
"avoid",0.09
"common",0.09
"driving",0.09
"generally",0.09
"mobile",0.09
"often",0.09
"police",0.09
"unless",0.09
"always",0.08
"aware",0.08
"cards",0.08
"careful",0.08
"currency",0.08
"especially",0.08
"expect",0.08
"free",0.08
"laws",0.08
"pay",0.08
"posted",0.08
"slow",0.08
"sometimes",0.08
"tend",0.08
"usually",0.08
"visa",0.08
"accept",0.07
"accepted",0.07
"areas",0.07
"card",0.07
"cause",0.07
"cheaper",0.07
"countries",0.07
"enforced",0.07
"even",0.07
"foreign",0.07
"keep",0.07
"less",0.07
"may",0.07
"money",0.07
"note",0.07
"offer",0.07
"operated",0.07
"phones",0.07
"political",0.07
"prepaid",0.07
"rarely",0.07
"roads",0.07
"speeds",0.07
"standard",0.07
"tipping",0.07
"without",0.07
