"","stadium"
"football",0.26
"league",0.17
"team",0.15
"teams",0.14
"games",0.13
"soccer",0.13
"sports",0.13
"university",0.13
"arena",0.12
"baseball",0.12
"mall",0.12
"matches",0.12
"shopping",0.12
"campus",0.11
"cricket",0.11
"play",0.11
"hosts",0.1
"plays",0.1
"sporting",0.1
"zoo",0.1
"athletic",0.09
"city's",0.09
"clubs",0.09
"cup",0.09
"events",0.09
"indoor",0.09
"metro",0.09
"movie",0.09
"music",0.09
"seating",0.09
"art",0.08
"bar",0.08
"bars",0.08
"capacity",0.08
"cinemas",0.08
"club",0.08
"collection",0.08
"college",0.08
"downtown",0.08
"floor",0.08
"free",0.08
"game",0.08
"lines",0.08
"match",0.08
"opened",0.08
"recently",0.08
"rugby",0.08
"streets",0.08
"students",0.08
"theater",0.08
"venues",0.08
"business",0.07
"children's",0.07
"cinema",0.07
"concerts",0.07
"convention",0.07
"features",0.07
"large",0.07
"locations",0.07
"playing",0.07
"science",0.07
"student",0.07
"tickets",0.07
"venue",0.07
