"","stand"
"ply",0.16
"rs",0.16
"temple",0.16
"tamil",0.14
"indian",0.12
"available",0.11
"bus",0.11
"lord",0.11
"shiva",0.11
"auto",0.1
"buses",0.1
"hrs",0.1
"india",0.1
"rickshaws",0.1
"sri",0.1
"vegetarian",0.1
"delhi",0.09
"near",0.09
"rickshaw",0.09
"temples",0.09
"'''hotel",0.08
"budget",0.08
"hindu",0.08
"inside",0.08
"km",0.08
"nh",0.08
"non",0.08
"opposite",0.08
"pure",0.08
"charge",0.07
"charges",0.07
"famous",0.07
"government",0.07
"items",0.07
"kms",0.07
"like",0.07
"places",0.07
"private",0.07
"railway",0.07
"sector",0.07
"taxi",0.07
"taxis",0.07
"temple'''",0.07
