"","station"
"train",0.43
"railway",0.35
"bus",0.33
"trains",0.29
"line",0.23
"buses",0.21
"jr",0.21
"ticket",0.17
"rail",0.15
"stations",0.15
"takes",0.15
"express",0.14
"minutes",0.14
"stop",0.14
"walk",0.14
"costs",0.13
"run",0.13
"shinkansen",0.13
"stops",0.13
"take",0.13
"tickets",0.13
"centre",0.12
"cost",0.12
"direct",0.12
"nearest",0.12
"next",0.12
"building",0.11
"change",0.11
"every",0.11
"expwy",0.11
"japan",0.11
"taxi",0.11
"depart",0.1
"distance",0.1
"hotel",0.1
"hour",0.1
"hours",0.1
"lines",0.1
"min",0.1
"opposite",0.1
"services",0.1
"tokyo",0.1
"can",0.09
"hourly",0.09
"japanese",0.09
"journey",0.09
"junction",0.09
"line'''",0.09
"office",0.09
"reach",0.09
"regular",0.09
"service",0.09
"shopping",0.09
"station'''",0.09
"subway",0.09
"temple",0.09
"yen",0.09
"central",0.08
"city",0.08
"connect",0.08
"direction",0.08
"directly",0.08
"fare",0.08
"floor",0.08
"get",0.08
"km",0.08
"leaves",0.08
"metro",0.08
"moscow",0.08
"near",0.08
"old",0.08
"pedestrian",0.08
"platform",0.08
"runs",0.08
"sleeper",0.08
"taxis",0.08
"tram",0.08
"trams",0.08
"also",0.07
"around",0.07
"arrives",0.07
"away",0.07
"blossom",0.07
"built",0.07
"catch",0.07
"departs",0.07
"easily",0.07
"leave",0.07
"reached",0.07
"transfer",0.07
"via",0.07
