"","stations"
"trains",0.17
"station",0.15
"line",0.14
"train",0.14
"railway",0.13
"rail",0.12
"services",0.12
"subway",0.11
"card",0.1
"lines",0.1
"machines",0.1
"ticket",0.1
"bus",0.09
"major",0.09
"metro",0.09
"network",0.09
"tickets",0.09
"vending",0.09
"buses",0.08
"cards",0.08
"change",0.08
"cities",0.08
"commuter",0.08
"convenient",0.08
"especially",0.08
"fares",0.08
"gas",0.08
"generally",0.08
"jr",0.08
"note",0.08
"often",0.08
"operate",0.08
"prepaid",0.08
"routes",0.08
"run",0.08
"rush",0.08
"served",0.08
"service",0.08
"stop",0.08
"tipping",0.08
"tram",0.08
"travel",0.08
"use",0.08
"valid",0.08
"widely",0.08
"within",0.08
"accept",0.07
"called",0.07
"either",0.07
"english",0.07
"express",0.07
"limited",0.07
"line'''",0.07
"police",0.07
"runs",0.07
"shopping",0.07
"system",0.07
"tokyo",0.07
"traffic",0.07
"useful",0.07
"using",0.07
