"","steak"
"house",0.14
"grill",0.12
"inn",0.12
"restaurant",0.12
"steaks",0.12
"avenue",0.11
"bar",0.11
"mexican",0.11
"phone",0.11
"steakhouse",0.11
"suites",0.11
"ave",0.1
"dinner",0.1
"lunch",0.1
"menu",0.1
"salad",0.1
"seafood",0.1
"american",0.09
"buffet",0.09
"dining",0.09
"downtown",0.09
"dr",0.09
"favorite",0.09
"features",0.09
"parkway",0.09
"st",0.09
"sushi",0.09
"blvd",0.08
"club",0.08
"fitness",0.08
"homemade",0.08
"italian",0.08
"live",0.08
"outdoor",0.08
"pizza",0.08
"rd",0.08
"street",0.08
"variety",0.08
"--can-eat",0.07
"block",0.07
"featuring",0.07
"free",0.07
"mall",0.07
"open",0.07
"pasta",0.07
"salads",0.07
"sandwiches",0.07
"selection",0.07
