"","still"
"now",0.16
"although",0.15
"even",0.15
"much",0.15
"used",0.14
"especially",0.13
"though",0.13
"years",0.13
"back",0.12
"foreign",0.12
"least",0.12
"may",0.12
"modern",0.12
"often",0.12
"original",0.12
"time",0.12
"today",0.12
"'ll",0.11
"almost",0.11
"always",0.11
"avoid",0.11
"buildings",0.11
"common",0.11
"despite",0.11
"expect",0.11
"find",0.11
"give",0.11
"like",0.11
"make",0.11
"might",0.11
"numbers",0.11
"old",0.11
"part",0.11
"recent",0.11
"remains",0.11
"seen",0.11
"since",0.11
"use",0.11
"became",0.1
"become",0.1
"bit",0.1
"built",0.1
"countries",0.1
"due",0.1
"early",0.1
"found",0.1
"generally",0.1
"language",0.1
"later",0.1
"locals",0.1
"look",0.1
"many",0.1
"mostly",0.1
"oldest",0.1
"pay",0.1
"people",0.1
"probably",0.1
"quite",0.1
"see",0.1
"smaller",0.1
"sometimes",0.1
"unlike",0.1
"usually",0.1
"without",0.1
"work",0.1
"'re",0.09
"another",0.09
"areas",0.09
"around",0.09
"better",0.09
"building",0.09
"came",0.09
"century",0.09
"citizens",0.09
"code",0.09
"compared",0.09
"drivers",0.09
"far",0.09
"first",0.09
"former",0.09
"history",0.09
"keep",0.09
"last",0.09
"late",0.09
"less",0.09
"little",0.09
"local",0.09
"long",0.09
"longer",0.09
"made",0.09
"money",0.09
"number",0.09
"outside",0.09
"parts",0.09
"political",0.09
"rather",0.09
"relatively",0.09
"remain",0.09
"rest",0.09
"rule",0.09
"second",0.09
"serious",0.09
"similar",0.09
"sure",0.09
"try",0.09
"turned",0.09
"visa",0.09
"will",0.09
"worth",0.09
"'s",0.08
"affected",0.08
"allow",0.08
"already",0.08
"among",0.08
"ancient",0.08
"area",0.08
"ask",0.08
"best",0.08
"businesses",0.08
"buy",0.08
"called",0.08
"cards",0.08
"careful",0.08
"certain",0.08
"companies",0.08
"consider",0.08
"considered",0.08
"crime",0.08
"currency",0.08
"currently",0.08
"days",0.08
"destroyed",0.08
"different",0.08
"difficult",0.08
"done",0.08
"embassy",0.08
"english",0.08
"european",0.08
"exchange",0.08
"expensive",0.08
"extremely",0.08
"feel",0.08
"good",0.08
"hard",0.08
"heavily",0.08
"higher",0.08
"however",0.08
"important",0.08
"just",0.08
"know",0.08
"known",0.08
"large",0.08
"lost",0.08
"mainly",0.08
"mind",0.08
"need",0.08
"never",0.08
"note",0.08
"offices",0.08
"older",0.08
"one",0.08
"originally",0.08
"perhaps",0.08
"plan",0.08
"police",0.08
"prices",0.08
"recently",0.08
"requires",0.08
"ruins",0.08
"sell",0.08
"sense",0.08
"several",0.08
"signage",0.08
"situation",0.08
"speak",0.08
"standard",0.08
"streets",0.08
"strong",0.08
"tend",0.08
"times",0.08
"tourists",0.08
"trade",0.08
"traffic",0.08
"travel",0.08
"unless",0.08
"various",0.08
"visas",0.08
"visible",0.08
"walls",0.08
"want",0.08
"war",0.08
"widely",0.08
"working",0.08
"world",0.08
"able",0.07
"accept",0.07
"applies",0.07
"based",0.07
"beer",0.07
"case",0.07
"change",0.07
"cheap",0.07
"cities",0.07
"clearly",0.07
"colonial",0.07
"consist",0.07
"cultural",0.07
"culture",0.07
"damaged",0.07
"dangerous",0.07
"display",0.07
"fact",0.07
"fairly",0.07
"following",0.07
"getting",0.07
"going",0.07
"government",0.07
"heavy",0.07
"houses",0.07
"huge",0.07
"idea",0.07
"illegal",0.07
"jobs",0.07
"lack",0.07
"leading",0.07
"led",0.07
"legal",0.07
"life",0.07
"likely",0.07
"lot",0.07
"low",0.07
"makes",0.07
"making",0.07
"markets",0.07
"means",0.07
"must",0.07
"names",0.07
"official",0.07
"others",0.07
"places",0.07
"possible",0.07
"price",0.07
"rarely",0.07
"regions",0.07
"require",0.07
"roads",0.07
"safe",0.07
"somewhat",0.07
"stands",0.07
"taken",0.07
"telephone",0.07
"tourist",0.07
"tradition",0.07
"using",0.07
"virtually",0.07
"whole",0.07
"widespread",0.07
"women",0.07
