"","store"
"grocery",0.24
"general",0.2
"stores",0.18
"shop",0.16
"clothing",0.15
"department",0.15
"hardware",0.15
"selection",0.14
"sells",0.14
"shopping",0.13
"bar",0.12
"chain",0.12
"deli",0.12
"food",0.12
"gift",0.12
"ice",0.12
"liquor",0.12
"pizza",0.12
"restaurant",0.12
"street",0.12
"coffee",0.11
"cream",0.11
"gifts",0.11
"lunch",0.11
"rd",0.11
"variety",0.11
"ave",0.1
"books",0.1
"bookstore",0.1
"cafe",0.1
"candy",0.1
"dining",0.1
"dinner",0.1
"downtown",0.1
"features",0.1
"jewelry",0.1
"mall",0.1
"menu",0.1
"phone",0.1
"retail",0.1
"sandwiches",0.1
"st",0.1
"american",0.09
"baked",0.09
"bakery",0.09
"breakfast",0.09
"business",0.09
"corner",0.09
"everything",0.09
"featuring",0.09
"free",0.09
"fun",0.09
"games",0.09
"goods",0.09
"gourmet",0.09
"grill",0.09
"homemade",0.09
"inn",0.09
"items",0.09
"library",0.09
"motel",0.09
"movie",0.09
"open",0.09
"outdoor",0.09
"seating",0.09
"specialty",0.09
"building",0.08
"carries",0.08
"casual",0.08
"center",0.08
"chains",0.08
"community",0.08
"decor",0.08
"discount",0.08
"family",0.08
"favorite",0.08
"full",0.08
"furniture",0.08
"gallery",0.08
"gas",0.08
"great",0.08
"groceries",0.08
"house",0.08
"indoor",0.08
"live",0.08
"music",0.08
"offers",0.08
"opened",0.08
"owned",0.08
"parking",0.08
"parlor",0.08
"post",0.08
"right",0.08
"serves",0.08
"shoe",0.08
"su",0.08
"upscale",0.08
"vintage",0.08
"antique",0.07
"art",0.07
"arts",0.07
"assortment",0.07
"bed",0.07
"branch",0.07
"call",0.07
"chicken",0.07
"customers",0.07
"diner",0.07
"fashion",0.07
"household",0.07
"italian",0.07
"kids",0.07
"organic",0.07
"outlet",0.07
"picnic",0.07
"pub",0.07
"route",0.07
"sa",0.07
"salads",0.07
"specials",0.07
"tavern",0.07
"toys",0.07
"weekend",0.07
