"","street"
"phone",0.31
"inn",0.29
"st",0.25
"avenue",0.23
"downtown",0.22
"main",0.22
"restaurant",0.2
"bar",0.19
"house",0.19
"pizza",0.17
"cafe",0.16
"pub",0.16
"arts",0.15
"east",0.15
"live",0.15
"art",0.14
"bed",0.14
"breakfast",0.14
"free",0.14
"grill",0.14
"historic",0.14
"music",0.14
"shop",0.14
"west",0.14
"corner",0.13
"dining",0.13
"food",0.13
"gallery",0.13
"motel",0.13
"north",0.13
"open",0.13
"saturday",0.13
"selection",0.13
"shopping",0.13
"theatre",0.13
"ave",0.12
"exit",0.12
"features",0.12
"friday",0.12
"lane",0.12
"mall",0.12
"market",0.12
"miles",0.12
"sandwiches",0.12
"store",0.12
"streets",0.12
"victorian",0.12
"bistro",0.11
"block",0.11
"business",0.11
"center",0.11
"club",0.11
"coffee",0.11
"college",0.11
"deli",0.11
"diner",0.11
"drive",0.11
"featuring",0.11
"fitness",0.11
"gourmet",0.11
"great",0.11
"homemade",0.11
"indoor",0.11
"lunch",0.11
"menu",0.11
"monday",0.11
"museum",0.11
"new",0.11
"park",0.11
"shops",0.11
"south",0.11
"stores",0.11
"sunday",0.11
"tavern",0.11
"american",0.1
"antique",0.1
"antiques",0.1
"bands",0.1
"blocks",0.1
"campus",0.1
"court",0.1
"cream",0.1
"events",0.1
"fine",0.1
"gift",0.1
"grille",0.1
"interstate",0.1
"italian",0.1
"library",0.1
"lounge",0.1
"mexican",0.1
"outdoor",0.1
"parking",0.1
"pubs",0.1
"route",0.1
"service",0.1
"steakhouse",0.1
"suites",0.1
"theater",0.1
"transit",0.1
"university",0.1
"variety",0.1
"walking",0.1
"across",0.09
"bakery",0.09
"baseball",0.09
"broadway",0.09
"building",0.09
"chain",0.09
"clothing",0.09
"depot",0.09
"dinner",0.09
"family",0.09
"greyhound",0.09
"hall",0.09
"high",0.09
"mile",0.09
"mill",0.09
"movie",0.09
"patio",0.09
"railroad",0.09
"rd",0.09
"register",0.09
"room",0.09
"seating",0.09
"serves",0.09
"serving",0.09
"specials",0.09
"sports",0.09
"square",0.09
"sushi",0.09
"thursday",0.09
"washington",0.09
"weekend",0.09
"amtrak",0.08
"artists",0.08
"authentic",0.08
"baked",0.08
"beers",0.08
"books",0.08
"boston",0.08
"boulevard",0.08
"brewing",0.08
"broad",0.08
"burger",0.08
"burgers",0.08
"chinese",0.08
"cinema",0.08
"classic",0.08
"company",0.08
"convention",0.08
"course",0.08
"craft",0.08
"cuisine",0.08
"door",0.08
"eclectic",0.08
"end",0.08
"exhibits",0.08
"exits",0.08
"favorite",0.08
"friendly",0.08
"front",0.08
"fun",0.08
"garden",0.08
"gifts",0.08
"golf",0.08
"highway",0.08
"ice",0.08
"located",0.08
"memorial",0.08
"original",0.08
"performing",0.08
"plays",0.08
"public",0.08
"queen",0.08
"retail",0.08
"right",0.08
"school",0.08
"seniors",0.08
"society",0.08
"steak",0.08
"su",0.08
"tuesday",0.08
"union",0.08
"upscale",0.08
"vintage",0.08
"waterfront",0.08
"wireless",0.08
"york",0.08
"admission",0.07
"atmosphere",0.07
"bars",0.07
"beer",0.07
"blvd",0.07
"bookstore",0.07
"boutique",0.07
"casual",0.07
"children's",0.07
"closed",0.07
"county",0.07
"dance",0.07
"decor",0.07
"drive-",0.07
"floor",0.07
"george",0.07
"held",0.07
"hosts",0.07
"hotel",0.07
"including",0.07
"internet",0.07
"king",0.07
"minutes",0.07
"musical",0.07
"offers",0.07
"riverfront",0.07
"runs",0.07
"specialty",0.07
"suite",0.07
"united",0.07
"upstairs",0.07
"venue",0.07
"walnut",0.07
