"","suites"
"inn",0.27
"marriott",0.24
"fitness",0.23
"dr",0.19
"blvd",0.18
"indoor",0.18
"ave",0.17
"free",0.17
"phone",0.17
"downtown",0.16
"parkway",0.16
"hilton",0.15
"jacuzzi",0.15
"kitchens",0.15
"rd",0.15
"suite",0.15
"amenities",0.14
"avenue",0.14
"breakfast",0.14
"deluxe",0.14
"hotel",0.14
"meeting",0.14
"outdoor",0.14
"business",0.13
"convention",0.13
"dining",0.13
"drive",0.13
"equipped",0.13
"grill",0.13
"mall",0.13
"pkwy",0.13
"whirlpool",0.13
"wireless",0.13
"center",0.12
"corporate",0.12
"features",0.12
"featuring",0.12
"high-speed",0.12
"pool",0.12
"rooms",0.12
"st",0.12
"-room",0.11
"boulevard",0.11
"executive",0.11
"heated",0.11
"luxury",0.11
"restaurant",0.11
"steak",0.11
"-site",0.1
"arts",0.1
"bar",0.1
"exercise",0.1
"internet",0.1
"interstate",0.1
"mexican",0.1
"offers",0.1
"street",0.1
"su",0.1
"upscale",0.1
"american",0.09
"bbq",0.09
"bedroom",0.09
"broadway",0.09
"chicago",0.09
"exit",0.09
"family",0.09
"full",0.09
"golf",0.09
"gourmet",0.09
"guests",0.09
"hot",0.09
"include",0.09
"lane",0.09
"laundry",0.09
"lcd",0.09
"live",0.09
"lounge",0.09
"movie",0.09
"patio",0.09
"plaza",0.09
"sandwiches",0.09
"screen",0.09
"shopping",0.09
"spacious",0.09
"steakhouse",0.09
"transit",0.09
"us",0.09
"basketball",0.08
"campus",0.08
"chicken",0.08
"college",0.08
"comfort",0.08
"conference",0.08
"creek",0.08
"diner",0.08
"dinner",0.08
"f-sa",0.08
"favorite",0.08
"fully",0.08
"furnished",0.08
"italian",0.08
"kitchen",0.08
"ln",0.08
"music",0.08
"park",0.08
"room",0.08
"seating",0.08
"service",0.08
"sheraton",0.08
"shuttle",0.08
"specials",0.08
"sports",0.08
"sushi",0.08
"theater",0.08
"tvs",0.08
"variety",0.08
"virginia",0.08
"acres",0.07
"america",0.07
"bed",0.07
"boutique",0.07
"brunch",0.07
"buffet",0.07
"cable",0.07
"california",0.07
"casual",0.07
"club",0.07
"desk",0.07
"extended",0.07
"fun",0.07
"grille",0.07
"homemade",0.07
"league",0.07
"menu",0.07
"miles",0.07
"pets",0.07
"specialty",0.07
"symphony",0.07
"tv",0.07
"university",0.07
