"","summer"
"winter",0.25
"months",0.21
"popular",0.13
"year",0.13
"music",0.12
"open",0.12
"skiing",0.12
"concerts",0.11
"season",0.11
"ski",0.11
"weather",0.11
"ice",0.1
"july",0.1
"outdoor",0.1
"snow",0.1
"autumn",0.09
"days",0.09
"enjoy",0.09
"events",0.09
"june",0.09
"warm",0.09
"alpine",0.08
"bike",0.08
"every",0.08
"festival",0.08
"great",0.08
"greek",0.08
"high",0.08
"holiday",0.08
"often",0.08
"parking",0.08
"sailing",0.08
"sea",0.08
"sun",0.08
"top",0.08
"week",0.08
"weekend",0.08
"activities",0.07
"always",0.07
"art",0.07
"august",0.07
"average",0.07
"bars",0.07
"busy",0.07
"conditions",0.07
"day",0.07
"even",0.07
"fall",0.07
"harbour",0.07
"kids",0.07
"late",0.07
"long",0.07
"many",0.07
"offers",0.07
"spring",0.07
"throughout",0.07
"trails",0.07
"views",0.07
"weekends",0.07
