"","surfing"
"surf",0.4
"surfers",0.27
"beach",0.21
"waves",0.2
"beaches",0.16
"kite",0.16
"breaks",0.15
"lessons",0.15
"playa",0.15
"ocean",0.13
"coast",0.12
"consistent",0.11
"bay",0.1
"beachside",0.1
"break",0.1
"fishing",0.1
"pacific",0.1
"sand",0.1
"spots",0.1
"beachfront",0.09
"beginners",0.09
"boards",0.09
"coastal",0.09
"indonesia",0.09
"indonesian",0.09
"wave",0.09
"wind",0.09
"currents",0.08
"fish",0.08
"mar",0.08
"tropical",0.08
"westward",0.08
"whale",0.08
"costa",0.07
"popular",0.07
"reef",0.07
"rent",0.07
"sandy",0.07
"snorkeling",0.07
