"","sweet"
"sweets",0.17
"made",0.15
"dish",0.14
"potato",0.13
"rice",0.13
"famous",0.12
"taste",0.12
"fried",0.11
"milk",0.11
"sauce",0.11
"sour",0.11
"try",0.11
"bean",0.1
"boiled",0.1
"cake",0.1
"drink",0.1
"eaten",0.1
"flour",0.1
"like",0.1
"stuffed",0.1
"sugar",0.1
"chicken",0.09
"cooked",0.09
"fruits",0.09
"noodles",0.09
"potatoes",0.09
"spicy",0.09
"tasty",0.09
"topped",0.09
"added",0.08
"buy",0.08
"called",0.08
"coconut",0.08
"delicious",0.08
"dough",0.08
"eat",0.08
"flavor",0.08
"fruit",0.08
"grapes",0.08
"india",0.08
"japanese",0.08
"juice",0.08
"meat",0.08
"sold",0.08
"staple",0.08
"temple",0.08
"among",0.07
"another",0.07
"best",0.07
"coffee",0.07
"commonly",0.07
"curry",0.07
"different",0.07
"fermented",0.07
"foods",0.07
"hindu",0.07
"hot",0.07
"jam",0.07
"kind",0.07
"mixed",0.07
"noodle",0.07
"pastry",0.07
"raw",0.07
"roasted",0.07
"seasoned",0.07
"soup",0.07
"special",0.07
"various",0.07
"version",0.07
"wheat",0.07
"wrapped",0.07
