"","talking"
"tipping",0.11
"unless",0.11
"controlled",0.1
"know",0.1
"sour",0.1
"visas",0.1
"accept",0.09
"agreement",0.09
"always",0.09
"avoid",0.09
"citizens",0.09
"currency",0.09
"exchange",0.09
"give",0.09
"issues",0.09
"notes",0.09
"polite",0.09
"someone",0.09
"suggest",0.09
"valid",0.09
"visa",0.09
"almost",0.08
"bags",0.08
"cards",0.08
"common",0.08
"countries",0.08
"dependent",0.08
"embassy",0.08
"even",0.08
"foreign",0.08
"illegal",0.08
"insurance",0.08
"language",0.08
"money",0.08
"nationals",0.08
"obtain",0.08
"safe",0.08
"sure",0.08
"surprised",0.08
"talk",0.08
"tend",0.08
"anything",0.07
"apply",0.07
"ask",0.07
"asking",0.07
"card",0.07
"drivers",0.07
"especially",0.07
"european",0.07
"generally",0.07
"government",0.07
"insist",0.07
"issue",0.07
"might",0.07
"passport",0.07
"pay",0.07
"phones",0.07
"prepaid",0.07
"respect",0.07
"serious",0.07
"work",0.07
