"","tasty"
"dishes",0.14
"food",0.13
"vegetarian",0.12
"cheap",0.11
"delicious",0.11
"fried",0.11
"friendly",0.11
"meat",0.11
"restaurant",0.11
"try",0.11
"menu",0.1
"nice",0.1
"salad",0.1
"selection",0.1
"serves",0.1
"'re",0.09
"cafe",0.09
"chicken",0.09
"cocktails",0.09
"coffee",0.09
"cuisine",0.09
"expensive",0.09
"fresh",0.09
"good",0.09
"grilled",0.09
"lunch",0.09
"place",0.09
"staff",0.09
"sweet",0.09
"'s",0.08
"best",0.08
"clean",0.08
"desserts",0.08
"dish",0.08
"drinks",0.08
"find",0.08
"great",0.08
"like",0.08
"made",0.08
"pick",0.08
"prices",0.08
"quality",0.08
"tender",0.08
"ask",0.07
"authentic",0.07
"better",0.07
"different",0.07
"excellent",0.07
"internet",0.07
"pizza",0.07
"price",0.07
"reasonable",0.07
"rooftop",0.07
"rooms",0.07
"salads",0.07
"serve",0.07
"shop",0.07
"spicy",0.07
"variety",0.07
