"","temples"
"temple",0.39
"lord",0.24
"hindu",0.23
"shiva",0.23
"ancient",0.17
"goddess",0.17
"buddhist",0.16
"sri",0.16
"tamil",0.16
"india",0.15
"temple'''",0.15
"famous",0.13
"kms",0.13
"shrines",0.13
"indian",0.12
"km",0.12
"raja",0.12
"rs",0.12
"sacred",0.12
"rickshaw",0.11
"believed",0.1
"carvings",0.1
"dedicated",0.1
"delhi",0.1
"holy",0.1
"popularly",0.1
"rice",0.1
"buddha",0.09
"complex",0.09
"district",0.09
"god",0.09
"japan's",0.09
"pilgrimage",0.09
"ply",0.09
"said",0.09
"shrine",0.09
"stand",0.09
"thailand",0.09
"connected",0.08
"dynasty",0.08
"important",0.08
"known",0.08
"one",0.08
"palaces",0.08
"silk",0.08
"statues",0.08
"vegetarian",0.08
"worship",0.08
"districts",0.07
"mango",0.07
"pilgrims",0.07
"railway",0.07
"religious",0.07
"rickshaws",0.07
