"","tend"
"generally",0.2
"drivers",0.16
"often",0.16
"usually",0.16
"common",0.15
"especially",0.15
"tends",0.15
"although",0.14
"avoid",0.14
"expensive",0.14
"prices",0.14
"sometimes",0.14
"accept",0.13
"always",0.13
"cards",0.13
"cheaper",0.13
"even",0.13
"expect",0.13
"much",0.13
"tipping",0.13
"bars",0.12
"countries",0.12
"foreign",0.12
"keep",0.12
"less",0.12
"may",0.12
"note",0.12
"passport",0.12
"rather",0.12
"relatively",0.12
"rules",0.12
"unless",0.12
"without",0.12
"alcohol",0.11
"almost",0.11
"aware",0.11
"card",0.11
"cheap",0.11
"companies",0.11
"crowded",0.11
"currency",0.11
"driving",0.11
"english",0.11
"find",0.11
"higher",0.11
"know",0.11
"laws",0.11
"might",0.11
"mobile",0.11
"money",0.11
"offer",0.11
"police",0.11
"price",0.11
"problem",0.11
"quite",0.11
"rarely",0.11
"require",0.11
"sim",0.11
"similar",0.11
"smaller",0.11
"strict",0.11
"sure",0.11
"though",0.11
"traffic",0.11
"typically",0.11
"visa",0.11
"'re",0.1
"accepted",0.1
"apply",0.1
"areas",0.1
"ask",0.1
"better",0.1
"careful",0.1
"carry",0.1
"cases",0.1
"certain",0.1
"charge",0.1
"citizens",0.1
"consider",0.1
"cost",0.1
"crime",0.1
"depending",0.1
"difficult",0.1
"drunk",0.1
"embassy",0.1
"exception",0.1
"exchange",0.1
"extremely",0.1
"hotels",0.1
"illegal",0.1
"insurance",0.1
"issue",0.1
"language",0.1
"least",0.1
"like",0.1
"likely",0.1
"locals",0.1
"make",0.1
"mind",0.1
"mostly",0.1
"need",0.1
"number",0.1
"official",0.1
"pay",0.1
"phones",0.1
"polite",0.1
"prepaid",0.1
"rate",0.1
"safe",0.1
"serious",0.1
"shops",0.1
"slightly",0.1
"taxis",0.1
"time",0.1
"try",0.1
"use",0.1
"visas",0.1
"widely",0.1
"will",0.1
"''''",0.09
"allow",0.09
"anything",0.09
"anywhere",0.09
"asian",0.09
"beer",0.09
"bit",0.09
"booking",0.09
"budget",0.09
"buy",0.09
"buying",0.09
"case",0.09
"cash",0.09
"cause",0.09
"caution",0.09
"check",0.09
"cities",0.09
"compared",0.09
"considered",0.09
"credit",0.09
"despite",0.09
"different",0.09
"discuss",0.09
"dollars",0.09
"drink",0.09
"drinking",0.09
"drinks",0.09
"driver",0.09
"driver's",0.09
"due",0.09
"either",0.09
"elsewhere",0.09
"equivalent",0.09
"european",0.09
"extra",0.09
"fairly",0.09
"far",0.09
"fares",0.09
"finding",0.09
"foreigners",0.09
"getting",0.09
"give",0.09
"good",0.09
