"","terminal"
"bus",0.24
"terminals",0.21
"ferry",0.2
"buses",0.18
"bangkok",0.16
"taxi",0.14
"cost",0.13
"fare",0.13
"ferries",0.13
"passengers",0.12
"calle",0.11
"costs",0.11
"depart",0.11
"departure",0.11
"driver",0.11
"fares",0.11
"intercity",0.11
"jalan",0.11
"leave",0.11
"shuttle",0.11
"singapore",0.11
"taxis",0.11
"baht",0.1
"blocks",0.1
"companies",0.1
"korean",0.1
"pesos",0.1
"price",0.1
"takes",0.1
"ticket",0.1
"air-con",0.09
"airport",0.09
"arrival",0.09
"budget",0.09
"call",0.09
"cheap",0.09
"cheaper",0.09
"connect",0.09
"departures",0.09
"drivers",0.09
"every",0.09
"front",0.09
"hostel",0.09
"malaysia",0.09
"next",0.09
"operate",0.09
"pay",0.09
"plaza",0.09
"prices",0.09
"service",0.09
"take",0.09
"thai",0.09
"tickets",0.09
"wait",0.09
"waiting",0.09
"ask",0.08
"block",0.08
"buy",0.08
"change",0.08
"charge",0.08
"cheapest",0.08
"class",0.08
"clean",0.08
"daily",0.08
"departs",0.08
"depending",0.08
"direct",0.08
"domestic",0.08
"expensive",0.08
"floor",0.08
"free",0.08
"get",0.08
"hour",0.08
"hours",0.08
"leaves",0.08
"leaving",0.08
"min",0.08
"office",0.08
"offices",0.08
"passenger",0.08
"per",0.08
"rate",0.08
"ride",0.08
"right",0.08
"rp",0.08
"services",0.08
"travel",0.08
"trip",0.08
"try",0.08
"use",0.08
"vans",0.08
"vending",0.08
"will",0.08
"air",0.07
"ban",0.07
"bit",0.07
"city's",0.07
"distance",0.07
"exchange",0.07
"fan",0.07
"faster",0.07
"frequent",0.07
"going",0.07
"indonesian",0.07
"journey",0.07
"luggage",0.07
"may",0.07
"minutes",0.07
"money",0.07
"negotiate",0.07
"night",0.07
"nightlife",0.07
"note",0.07
"one-way",0.07
"online",0.07
"option",0.07
"run",0.07
"several",0.07
"stalls",0.07
"start",0.07
"subway",0.07
"thailand",0.07
"traffic",0.07
"transfer",0.07
"transport",0.07
"vip",0.07
