"","territory"
"pocket",0.15
"became",0.11
"economic",0.11
"regions",0.11
"sq",0.11
"annexed",0.1
"control",0.1
"overseas",0.1
"capital",0.09
"insurance",0.09
"pockets",0.09
"political",0.09
"british",0.08
"citizens",0.08
"countries",0.08
"government",0.08
"islands",0.08
"language",0.08
"military",0.08
"occupation",0.08
"official",0.08
"part",0.08
"passports",0.08
"permit",0.08
"presence",0.08
"russian",0.08
"status",0.08
"war",0.08
"currency",0.07
"declared",0.07
"divided",0.07
"entry",0.07
"isolated",0.07
"issued",0.07
"kingdom",0.07
"passport",0.07
"spoken",0.07
"understood",0.07
