"","thai"
"baht",0.54
"bangkok",0.4
"thailand",0.38
"air-con",0.25
"ban",0.24
"malaysian",0.18
"motorbike",0.17
"hat",0.16
"fan",0.15
"buddha",0.14
"bungalows",0.14
"hong",0.14
"malaysia",0.14
"food",0.13
"motorbikes",0.13
"massage",0.12
"rd",0.12
"motorcycle",0.11
"restaurant",0.11
"si",0.11
"authentic",0.1
"bungalow",0.1
"lotus",0.1
"vip",0.1
"chinese",0.09
"free",0.09
"guesthouse",0.09
"hwy",0.09
"pier",0.09
"sleep",0.09
"stalls",0.09
"terminal",0.09
"understand",0.09
"wi-fi",0.09
"asian",0.08
"coffee",0.08
"cooking",0.08
"cuisine",0.08
"curries",0.08
"dishes",0.08
"duty",0.08
"friendly",0.08
"king",0.08
"market",0.08
"menu",0.08
"min",0.08
"next",0.08
"opposite",0.08
"orchid",0.08
"reasonable",0.08
"reign",0.08
"son",0.08
"sushi",0.08
"tribe",0.08
"bar",0.07
"curry",0.07
"drink",0.07
"night",0.07
"passport",0.07
"pick-",0.07
"rice",0.07
"royal",0.07
"salad",0.07
"triangle",0.07
