"","theatre"
"arts",0.16
"art",0.15
"shows",0.15
"movie",0.14
"music",0.14
"plays",0.14
"theater",0.14
"theatres",0.14
"street",0.13
"concerts",0.12
"drama",0.12
"festival",0.12
"gallery",0.12
"st",0.12
"symphony",0.12
"building",0.11
"cinema",0.11
"college",0.11
"downtown",0.11
"events",0.11
"hall",0.11
"library",0.11
"live",0.11
"shopping",0.11
"university",0.11
"venue",0.11
"concert",0.1
"features",0.1
"films",0.1
"historic",0.1
"indoor",0.1
"m-f",0.1
"museum",0.1
"opera",0.1
"performing",0.1
"venues",0.1
"academic",0.09
"artists",0.09
"ave",0.09
"avenue",0.09
"classic",0.09
"collection",0.09
"comedy",0.09
"dance",0.09
"eclectic",0.09
"hosts",0.09
"movies",0.09
"musical",0.09
"opened",0.09
"performers",0.09
"pizza",0.09
"square",0.09
"students",0.09
"su",0.09
"atmosphere",0.08
"bar",0.08
"broadway",0.08
"business",0.08
"center",0.08
"centre",0.08
"children's",0.08
"company",0.08
"court",0.08
"deco",0.08
"featuring",0.08
"film",0.08
"free",0.08
"held",0.08
"history",0.08
"hockey",0.08
"hosted",0.08
"house",0.08
"inn",0.08
"institute",0.08
"jazz",0.08
"league",0.08
"orchestra",0.08
"original",0.08
"outdoor",0.08
"pub",0.08
"sa",0.08
"saturday",0.08
"seating",0.08
"selection",0.08
"stage",0.08
"student",0.08
"variety",0.08
"visual",0.08
"chain",0.07
"city's",0.07
"civic",0.07
"european",0.07
"f-sa",0.07
"fine",0.07
"fitness",0.07
"football",0.07
"friday",0.07
"mall",0.07
"menu",0.07
"monday",0.07
"monthly",0.07
"oldest",0.07
"phone",0.07
"queen",0.07
"restaurant",0.07
"restored",0.07
"show",0.07
"stores",0.07
"streets",0.07
"upscale",0.07
