"","ticket"
"tickets",0.35
"valid",0.27
"buy",0.25
"costs",0.25
"bought",0.2
"bus",0.19
"price",0.19
"card",0.18
"one-way",0.18
"cost",0.17
"return",0.17
"station",0.17
"train",0.17
"machine",0.16
"pay",0.16
"buses",0.15
"buying",0.15
"office",0.15
"trains",0.15
"cheaper",0.14
"driver",0.14
"entrance",0.14
"machines",0.14
"prices",0.14
"purchased",0.14
"credit",0.13
"day",0.13
"departure",0.13
"need",0.13
"online",0.13
"purchase",0.13
"stop",0.13
"takes",0.13
"tram",0.13
"unlimited",0.13
"expensive",0.12
"free",0.12
"get",0.12
"inside",0.12
"journey",0.12
"leave",0.12
"might",0.12
"note",0.12
"payment",0.12
"sell",0.12
"single",0.12
"time",0.12
"trams",0.12
"trip",0.12
"will",0.12
"ask",0.11
"avoid",0.11
"book",0.11
"cards",0.11
"change",0.11
"charge",0.11
"depart",0.11
"depending",0.11
"directly",0.11
"discount",0.11
"discounted",0.11
"drivers",0.11
"european",0.11
"every",0.11
"fare",0.11
"fares",0.11
"fee",0.11
"find",0.11
"make",0.11
"may",0.11
"money",0.11
"next",0.11
"ride",0.11
"stops",0.11
"sure",0.11
"times",0.11
"transport",0.11
"travel",0.11
"use",0.11
"usually",0.11
"without",0.11
"accept",0.1
"additional",0.1
"advance",0.1
"another",0.1
"board",0.1
"booking",0.1
"cheap",0.1
"costing",0.1
"discounts",0.1
"electronic",0.1
"english",0.1
"especially",0.1
"extra",0.1
"foreign",0.1
"hour",0.1
"least",0.1
"lines",0.1
"look",0.1
"luggage",0.1
"modern",0.1
"must",0.1
"network",0.1
"night",0.1
"often",0.1
"paid",0.1
"passengers",0.1
"per",0.1
"purchasing",0.1
"reduced",0.1
"sometimes",0.1
"staff",0.1
"stations",0.1
"student",0.1
"taxi",0.1
"terminal",0.1
"try",0.1
"vending",0.1
"waiting",0.1
"want",0.1
"zones",0.1
"'ll",0.09
"always",0.09
"around",0.09
"arrive",0.09
"automatic",0.09
"aware",0.09
"better",0.09
"beware",0.09
"bit",0.09
"booth",0.09
"building",0.09
"can",0.09
"cheapest",0.09
"check",0.09
"coins",0.09
"companies",0.09
"departing",0.09
"different",0.09
"direct",0.09
"entry",0.09
"even",0.09
"exchange",0.09
"expect",0.09
"floor",0.09
"front",0.09
"going",0.09
"higher",0.09
"hostel",0.09
"hours",0.09
"kiosks",0.09
"know",0.09
"map",0.09
"maps",0.09
"minutes",0.09
"normal",0.09
"offices",0.09
"one-day",0.09
"opposite",0.09
"outside",0.09
"paying",0.09
"plan",0.09
"possible",0.09
"public",0.09
"queue",0.09
"quite",0.09
"rather",0.09
"seats",0.09
"since",0.09
"sold",0.09
"special",0.09
"start",0.09
"students",0.09
"take",0.09
"taking",0.09
"tourist",0.09
"useful",0.09
"using",0.09
"wait",0.09
"walk",0.09
"'s",0.08
"able",0.08
"adult",0.08
"adults",0.08
"almost",0.08
"already",0.08
"asking",0.08
"back",0.08
"bags",0.08
"bikes",0.08
"booked",0.08
"cash",0.08
"closed",0.08
"conductor",0.08
"counter",0.08
"dishes",0.08
"drink",0.08
"either",0.08
"except",0.08
"foreigners",0.08
"getting",0.08
"give",0.08
"go",0.08
"good",0.08
"hall",0.08
"help",0.08
"idea",0.08
"instead",0.08
"journeys",0.08
"last",0.08
"late",0.08
"leaves",0.08
"leaving",0.08
"less",0.08
"longer",0.08
"min",0.08
"morning",0.08
"mostly",0.08
"nice",0.08
"number",0.08
"ones",0.08
"option",0.08
"order",0.08
"passport",0.08
"pedestrian",0.08
"person",0.08
"probably",0.08
"read",0.08
"remember",0.08
"room",0.08
"rooms",0.08
"see",0.08
"seem",0.08
"show",0.08
"shuttle",0.08
"sign",0.08
"sleeper",0.08
"slightly",0.08
"streets",0.08
"system",0.08
"tend",0.08
"timetables",0.08
"tipping",0.08
"two",0.08
"unless",0.08
"way",0.08
"website",0.08
"-called",0.07
"''''",0.07
"'re",0.07
"accepted",0.07
"allowed",0.07
"allows",0.07
"arrival",0.07
"arriving",0.07
"baroque",0.07
"basement",0.07
"beginning",0.07
"behind",0.07
"boarding",0.07
"budget",0.07
"buildings",0.07
"busy",0.07
"charged",0.07
"city's",0.07
"class",0.07
"clubs",0.07
"confusing",0.07
"convenient",0.07
"crowded",0.07
"daily",0.07
"doubles",0.07
"enter",0.07
"exact",0.07
"fast",0.07
"first",0.07
"gate",0.07
"generally",0.07
"germany",0.07
"half",0.07
"id",0.07
"internet",0.07
"keep",0.07
"kiosk",0.07
"let",0.07
"line",0.07
"little",0.07
"lot",0.07
"mind",0.07
"normally",0.07
"nov",0.07
"numbers",0.07
"offer",0.07
"operated",0.07
"palace",0.07
"parking",0.07
"police",0.07
"railway",0.07
"rate",0.07
"regular",0.07
"run",0.07
"services",0.07
"shops",0.07
"shows",0.07
"standard",0.07
"taxis",0.07
"though",0.07
"three",0.07
"ticketing",0.07
"tourists",0.07
"typically",0.07
"whole",0.07
"wi-fi",0.07
"worth",0.07
"youth",0.07
