"","tourist"
"office",0.17
"tourists",0.17
"attraction",0.13
"popular",0.13
"even",0.12
"hotels",0.12
"available",0.11
"english",0.11
"foreign",0.11
"around",0.1
"ask",0.1
"can",0.1
"drivers",0.1
"especially",0.1
"expensive",0.1
"make",0.1
"may",0.1
"number",0.1
"pay",0.1
"price",0.1
"tour",0.1
"travel",0.1
"widely",0.1
"will",0.1
"without",0.1
"almost",0.09
"avoid",0.09
"bars",0.09
"called",0.09
"centre",0.09
"cheap",0.09
"driver",0.09
"find",0.09
"get",0.09
"guide",0.09
"hire",0.09
"like",0.09
"look",0.09
"many",0.09
"map",0.09
"note",0.09
"offer",0.09
"offices",0.09
"often",0.09
"one",0.09
"option",0.09
"outside",0.09
"possible",0.09
"prices",0.09
"quite",0.09
"shops",0.09
"ticket",0.09
"tourism",0.09
"transport",0.09
"trip",0.09
"visit",0.09
"walk",0.09
"want",0.09
"able",0.08
"although",0.08
"back",0.08
"beautiful",0.08
"become",0.08
"best",0.08
"better",0.08
"bit",0.08
"book",0.08
"booking",0.08
"bus",0.08
"buses",0.08
"buy",0.08
"charge",0.08
"cheaper",0.08
"close",0.08
"common",0.08
"companies",0.08
"cost",0.08
"costs",0.08
"day",0.08
"due",0.08
"easily",0.08
"european",0.08
"expect",0.08
"famous",0.08
"found",0.08
"generally",0.08
"give",0.08
"good",0.08
"government",0.08
"help",0.08
"language",0.08
"less",0.08
"local",0.08
"long",0.08
"major",0.08
"maps",0.08
"might",0.08
"modern",0.08
"money",0.08
"much",0.08
"night",0.08
"official",0.08
"people",0.08
"places",0.08
"rather",0.08
"resorts",0.08
"risk",0.08
"season",0.08
"see",0.08
"sometimes",0.08
"speak",0.08
"takes",0.08
"taxi",0.08
"time",0.08
"try",0.08
"used",0.08
"view",0.08
"visitors",0.08
"well",0.08
"worth",0.08
"advance",0.07
"advisable",0.07
"also",0.07
"budget",0.07
"currency",0.07
"different",0.07
"easy",0.07
"either",0.07
"excellent",0.07
"getting",0.07
"go",0.07
"guides",0.07
"helpful",0.07
"journey",0.07
"keep",0.07
"leave",0.07
"made",0.07
"means",0.07
"must",0.07
"nice",0.07
"ones",0.07
"parts",0.07
"per",0.07
"police",0.07
"private",0.07
"range",0.07
"rarely",0.07
"relatively",0.07
"rent",0.07
"safe",0.07
"selling",0.07
"simple",0.07
"souvenir",0.07
"standard",0.07
"still",0.07
"sure",0.07
"taxis",0.07
"tend",0.07
"tickets",0.07
"top",0.07
"trips",0.07
"use",0.07
"usually",0.07
