"","tourists"
"tourist",0.17
"locals",0.15
"foreign",0.14
"even",0.13
"often",0.13
"popular",0.13
"avoid",0.12
"expensive",0.12
"hotels",0.12
"make",0.12
"pay",0.12
"prices",0.12
"always",0.11
"common",0.11
"drivers",0.11
"due",0.11
"especially",0.11
"find",0.11
"like",0.11
"many",0.11
"may",0.11
"money",0.11
"offer",0.11
"people",0.11
"price",0.11
"tourism",0.11
"try",0.11
"visit",0.11
"will",0.11
"although",0.1
"ask",0.1
"buy",0.1
"come",0.1
"currency",0.1
"driver",0.1
"experience",0.1
"generally",0.1
"keep",0.1
"much",0.1
"night",0.1
"police",0.1
"quite",0.1
"safe",0.1
"stay",0.1
"sure",0.1
"time",0.1
"usually",0.1
"visa",0.1
"want",0.1
"without",0.1
"able",0.09
"allowed",0.09
"another",0.09
"back",0.09
"better",0.09
"careful",0.09
"charge",0.09
"cheap",0.09
"cheaper",0.09
"companies",0.09
"cost",0.09
"english",0.09
"expect",0.09
"foreigners",0.09
"higher",0.09
"know",0.09
"least",0.09
"leave",0.09
"less",0.09
"might",0.09
"mostly",0.09
"passport",0.09
"places",0.09
"rate",0.09
"sometimes",0.09
"speak",0.09
"taxi",0.09
"taxis",0.09
"tend",0.09
"tropical",0.09
"trying",0.09
"visiting",0.09
"accept",0.08
"advisable",0.08
"air-con",0.08
"almost",0.08
"arrive",0.08
"atms",0.08
"attract",0.08
"aware",0.08
"bars",0.08
"beaches",0.08
"beautiful",0.08
"become",0.08
"beware",0.08
"boats",0.08
"book",0.08
"budget",0.08
"buying",0.08
"can",0.08
"cards",0.08
"cater",0.08
"clean",0.08
"countries",0.08
"crowded",0.08
"cruise",0.08
"different",0.08
"difficult",0.08
"drink",0.08
"exchange",0.08
"extra",0.08
"extremely",0.08
"feel",0.08
"friendly",0.08
"get",0.08
"give",0.08
"government",0.08
"guide",0.08
"help",0.08
"highly",0.08
"however",0.08
"language",0.08
"leaving",0.08
"look",0.08
"lot",0.08
"luggage",0.08
"must",0.08
"need",0.08
"never",0.08
"note",0.08
"number",0.08
"outside",0.08
"paying",0.08
"prepared",0.08
"problem",0.08
"rarely",0.08
"really",0.08
"remember",0.08
"resorts",0.08
"ride",0.08
"risk",0.08
"sell",0.08
"sim",0.08
"something",0.08
"still",0.08
"though",0.08
"tour",0.08
"transport",0.08
"travel",0.08
"trip",0.08
"trips",0.08
"use",0.08
"using",0.08
"visas",0.08
"visited",0.08
"waiting",0.08
"widely",0.08
"advance",0.07
"amazing",0.07
"among",0.07
"areas",0.07
"around",0.07
"asked",0.07
"basic",0.07
"best",0.07
"bit",0.07
"card",0.07
"carry",0.07
"caution",0.07
"certain",0.07
"charged",0.07
"choose",0.07
"citizens",0.07
"compared",0.07
"crime",0.07
"dangerous",0.07
"depending",0.07
"dollars",0.07
"european",0.07
"every",0.07
"fee",0.07
"found",0.07
"getting",0.07
"go",0.07
"guides",0.07
"increasing",0.07
"long",0.07
"looking",0.07
"mean",0.07
"motorbike",0.07
"official",0.07
"operators",0.07
"order",0.07
"passengers",0.07
"person",0.07
"plan",0.07
"possible",0.07
"prefer",0.07
"private",0.07
"probably",0.07
"rather",0.07
"relatively",0.07
"rent",0.07
"season",0.07
"sold",0.07
"spend",0.07
"strong",0.07
"therefore",0.07
"ticket",0.07
"various",0.07
"women",0.07
"work",0.07
"worth",0.07
