"","touts"
"ignore",0.16
"pay",0.14
"beware",0.11
"driver",0.11
"money",0.11
"negotiate",0.11
"price",0.11
"bargaining",0.1
"clean",0.1
"coins",0.1
"inflated",0.1
"insist",0.1
"paying",0.1
"buy",0.09
"buying",0.09
"charge",0.09
"cost",0.09
"drivers",0.09
"fake",0.09
"hassle",0.09
"polite",0.09
"prices",0.09
"rp",0.09
"sellers",0.09
"will",0.09
"agree",0.08
"air-con",0.08
"approached",0.08
"ask",0.08
"atms",0.08
"avoid",0.08
"aware",0.08
"bags",0.08
"better",0.08
"commission",0.08
"exchange",0.08
"expensive",0.08
"happily",0.08
"leave",0.08
"offices",0.08
"person",0.08
"sell",0.08
"taxis",0.08
"tell",0.08
"try",0.08
"trying",0.08
"visa",0.08
"visas",0.08
"arrival",0.07
"asking",0.07
"bother",0.07
"budget",0.07
"cheap",0.07
"give",0.07
"may",0.07
"overpriced",0.07
"reputable",0.07
"tax",0.07
"taxi",0.07
