"","turn"
"left",0.47
"right",0.38
"onto",0.32
"follow",0.25
"continue",0.21
"take",0.18
"straight",0.17
"exit",0.16
"towards",0.16
"road",0.15
"past",0.14
"sign",0.13
"head",0.12
"signs",0.12
"go",0.11
"roundabout",0.11
"cross",0.1
"drive",0.1
"reach",0.1
"end",0.09
"enter",0.09
"hand",0.09
"hwy",0.09
"merge",0.09
"passing",0.09
"proceed",0.09
"traffic",0.09
"turning",0.09
"walk",0.09
"ban",0.08
"bangkok",0.08
"entrance",0.08
"keep",0.08
"see",0.08
"side",0.08
"toward",0.08
"will",0.08
"'ll",0.07
"behind",0.07
"lights",0.07
"look",0.07
"next",0.07
"rd",0.07
"turns",0.07
