"","ubiquitous"
"topped",0.11
"prepaid",0.1
"tipping",0.1
"charge",0.09
"countries",0.09
"legal",0.09
"noodles",0.09
"rarely",0.09
"salty",0.09
"sim",0.09
"violent",0.09
"visas",0.09
"abound",0.08
"always",0.08
"certain",0.08
"currency",0.08
"despite",0.08
"especially",0.08
"expected",0.08
"expensive",0.08
"generally",0.08
"instead",0.08
"limited",0.08
"machines",0.08
"note",0.08
"notes",0.08
"often",0.08
"pay",0.08
"refuse",0.08
"sauce",0.08
"sometimes",0.08
"usually",0.08
"version",0.08
"work",0.08
"although",0.07
"avoid",0.07
"calls",0.07
"card",0.07
"cheaper",0.07
"crime",0.07
"drivers",0.07
"even",0.07
"exchange",0.07
"foreigners",0.07
"money",0.07
"much",0.07
"problem",0.07
"rate",0.07
"rice",0.07
"slow",0.07
"taxis",0.07
"tend",0.07
"though",0.07
"visa",0.07
"widely",0.07
