"","upon"
"arrival",0.13
"coins",0.11
"glasses",0.1
"request",0.1
"visa",0.1
"currency",0.09
"depending",0.09
"entering",0.09
"generally",0.09
"passport",0.09
"pay",0.09
"wear",0.09
"accept",0.08
"advisable",0.08
"ask",0.08
"avoid",0.08
"card",0.08
"charge",0.08
"cost",0.08
"drivers",0.08
"exchange",0.08
"extra",0.08
"know",0.08
"make",0.08
"may",0.08
"means",0.08
"obtain",0.08
"paying",0.08
"sure",0.08
"tap",0.08
"visas",0.08
"will",0.08
"women",0.08
"atms",0.07
"better",0.07
"cards",0.07
"certain",0.07
"countries",0.07
"driver",0.07
"money",0.07
"police",0.07
"purchase",0.07
"taxis",0.07
"time",0.07
