"","valuables"
"theft",0.16
"keep",0.13
"report",0.13
"lock",0.12
"always",0.11
"avoid",0.11
"crime",0.11
"drivers",0.11
"drugs",0.11
"violent",0.11
"alert",0.1
"bags",0.1
"careful",0.1
"insurance",0.1
"money",0.1
"police",0.1
"safe",0.1
"safety",0.1
"common",0.09
"especially",0.09
"pay",0.09
"petty",0.09
"sure",0.09
"accept",0.08
"afford",0.08
"anywhere",0.08
"aware",0.08
"belongings",0.08
"better",0.08
"card",0.08
"care",0.08
"cash",0.08
"crowded",0.08
"doors",0.08
"driver",0.08
"even",0.08
"exchange",0.08
"expensive",0.08
"generally",0.08
"idea",0.08
"leave",0.08
"often",0.08
"party",0.08
"passport",0.08
"paying",0.08
"reputable",0.08
"risk",0.08
"security",0.08
"sim",0.08
"sometimes",0.08
"target",0.08
"visas",0.08
"'re",0.07
"anything",0.07
"applies",0.07
"carry",0.07
"companies",0.07
"deposit",0.07
"hard",0.07
"hesitate",0.07
"higher",0.07
"know",0.07
"likely",0.07
"locals",0.07
"luggage",0.07
"may",0.07
"moon",0.07
"night",0.07
"note",0.07
"offer",0.07
"phones",0.07
"put",0.07
"rate",0.07
"reports",0.07
"use",0.07
