"","walls"
"built",0.15
"century",0.14
"defensive",0.14
"fortified",0.14
"fortress",0.14
"wall",0.14
"old",0.13
"roman",0.13
"gates",0.12
"inside",0.12
"medieval",0.12
"walled",0.12
"cathedral",0.11
"church",0.11
"decorated",0.11
"gate",0.11
"remains",0.11
"towers",0.11
"ancient",0.1
"frescoes",0.1
"tower",0.1
"ad",0.09
"baroque",0.09
"building",0.09
"buildings",0.09
"destroyed",0.09
"gothic",0.09
"painted",0.09
"palace",0.09
"rebuilt",0.09
"square",0.09
"stone",0.09
"castle",0.08
"chapel",0.08
"churches",0.08
"di",0.08
"facade",0.08
"houses",0.08
"paintings",0.08
"piazza",0.08
"roof",0.08
"ruins",0.08
"still",0.08
"streets",0.08
"wooden",0.08
"bc",0.07
"conquered",0.07
"date",0.07
"entrance",0.07
"interior",0.07
"marble",0.07
"monumental",0.07
"monuments",0.07
"mosque",0.07
"preserved",0.07
"romanesque",0.07
"tomb",0.07
