"","want"
"will",0.22
"get",0.21
"go",0.21
"might",0.21
"pay",0.2
"need",0.19
"'ll",0.18
"'re",0.18
"ask",0.18
"try",0.18
"'s",0.17
"buy",0.17
"find",0.17
"make",0.17
"may",0.17
"stay",0.17
"driver",0.16
"good",0.16
"know",0.16
"money",0.16
"prices",0.16
"really",0.16
"sure",0.16
"always",0.15
"can",0.15
"drivers",0.15
"even",0.15
"expect",0.15
"expensive",0.15
"probably",0.15
"usually",0.15
"avoid",0.14
"cheap",0.14
"just",0.14
"like",0.14
"little",0.14
"look",0.14
"nice",0.14
"people",0.14
"price",0.14
"quite",0.14
"see",0.14
"something",0.14
"unless",0.14
"around",0.13
"best",0.13
"better",0.13
"bit",0.13
"check",0.13
"cost",0.13
"getting",0.13
"keep",0.13
"locals",0.13
"night",0.13
"place",0.13
"places",0.13
"sell",0.13
"spend",0.13
"take",0.13
"time",0.13
"another",0.12
"back",0.12
"book",0.12
"bring",0.12
"cheaper",0.12
"come",0.12
"consider",0.12
"drink",0.12
"eat",0.12
"especially",0.12
"food",0.12
"give",0.12
"going",0.12
"leave",0.12
"lot",0.12
"much",0.12
"offer",0.12
"option",0.12
"ride",0.12
"right",0.12
"say",0.12
"sometimes",0.12
"taxi",0.12
"use",0.12
"wait",0.12
"way",0.12
"without",0.12
"'ve",0.11
"able",0.11
"anything",0.11
"anywhere",0.11
"arrange",0.11
"charge",0.11
"costs",0.11
"feel",0.11
"friendly",0.11
"hard",0.11
"help",0.11
"idea",0.11
"least",0.11
"likely",0.11
"often",0.11
"plan",0.11
"plenty",0.11
"pretty",0.11
"remember",0.11
"rent",0.11
"someone",0.11
"staff",0.11
"tell",0.11
"thing",0.11
"trip",0.11
"walk",0.11
"worth",0.11
"actually",0.1
"advance",0.1
"almost",0.1
"although",0.1
"asking",0.1
"aware",0.1
"choose",0.1
"depending",0.1
"different",0.1
"everything",0.1
"experience",0.1
"far",0.1
"generally",0.1
"less",0.1
"let",0.1
"looking",0.1
"lots",0.1
"luggage",0.1
"mind",0.1
"miss",0.1
"mostly",0.1
"next",0.1
"outside",0.1
"paying",0.1
"per",0.1
"pick",0.1
"rather",0.1
"simply",0.1
"staying",0.1
"stop",0.1
"things",0.1
"think",0.1
"ticket",0.1
"tickets",0.1
"tourists",0.1
"visit",0.1
"accept",0.09
"arrive",0.09
"bars",0.09
"basic",0.09
"cards",0.09
"careful",0.09
"case",0.09
"cheapest",0.09
"choice",0.09
"common",0.09
"compared",0.09
"crowded",0.09
"day",0.09
"definitely",0.09
"difficult",0.09
"dishes",0.09
"drinks",0.09
"either",0.09
"english",0.09
"enjoy",0.09
"enough",0.09
"every",0.09
"everywhere",0.09
"extra",0.09
"extremely",0.09
"fare",0.09
"great",0.09
"hotels",0.09
"meal",0.09
"meet",0.09
"must",0.09
"never",0.09
"note",0.09
"order",0.09
"person",0.09
"plastic",0.09
"prepared",0.09
"problem",0.09
"quality",0.09
"reasonable",0.09
"room",0.09
"rooms",0.09
"save",0.09
"seem",0.09
"seems",0.09
"show",0.09
"speak",0.09
"start",0.09
"taxis",0.09
"tend",0.09
"tourist",0.09
"using",0.09
"whole",0.09
"'d",0.08
"agree",0.08
"already",0.08
"also",0.08
"asked",0.08
"atmosphere",0.08
"away",0.08
"bargain",0.08
"beer",0.08
"behind",0.08
"beware",0.08
"big",0.08
