"","wary"
"drivers",0.13
"money",0.11
"careful",0.1
"tipping",0.1
"aggressive",0.09
"always",0.09
"avoid",0.09
"even",0.09
"police",0.09
"poorly",0.09
"use",0.09
"advice",0.08
"avoided",0.08
"card",0.08
"caution",0.08
"currency",0.08
"exchange",0.08
"hard",0.08
"may",0.08
"passport",0.08
"pay",0.08
"paying",0.08
"random",0.08
"security",0.08
"traffic",0.08
"trying",0.08
"usually",0.08
"wear",0.08
"baggage",0.07
"bags",0.07
"cause",0.07
"common",0.07
"embassy",0.07
"especially",0.07
"generally",0.07
"illegal",0.07
"insist",0.07
"rate",0.07
"refuse",0.07
"rules",0.07
"safe",0.07
"sometimes",0.07
"sure",0.07
"try",0.07
"visa",0.07
