"","well"
"worth",0.2
"connected",0.16
"known",0.16
"also",0.15
"many",0.14
"especially",0.12
"excellent",0.12
"food",0.12
"large",0.12
"offer",0.12
"offers",0.12
"popular",0.12
"although",0.11
"always",0.11
"cities",0.11
"even",0.11
"including",0.11
"major",0.11
"number",0.11
"often",0.11
"parts",0.11
"quite",0.11
"range",0.11
"variety",0.11
"wide",0.11
"areas",0.1
"available",0.1
"best",0.1
"every",0.1
"find",0.1
"generally",0.1
"good",0.1
"great",0.1
"include",0.1
"like",0.1
"local",0.1
"may",0.1
"much",0.1
"place",0.1
"places",0.1
"prices",0.1
"shopping",0.1
"sure",0.1
"throughout",0.1
"usually",0.1
"within",0.1
"among",0.09
"another",0.09
"around",0.09
"bars",0.09
"centre",0.09
"close",0.09
"cuisine",0.09
"day",0.09
"dishes",0.09
"english",0.09
"expect",0.09
"expensive",0.09
"found",0.09
"friendly",0.09
"items",0.09
"maintained",0.09
"make",0.09
"menu",0.09
"note",0.09
"offering",0.09
"one",0.09
"open",0.09
"outside",0.09
"quality",0.09
"selection",0.09
"serve",0.09
"served",0.09
"several",0.09
"shops",0.09
"smaller",0.09
"staff",0.09
"try",0.09
"various",0.09
"visit",0.09
"almost",0.08
"avoid",0.08
"bar",0.08
"beer",0.08
"better",0.08
"bit",0.08
"book",0.08
"cheap",0.08
"check",0.08
"choice",0.08
"cultural",0.08
"different",0.08
"drink",0.08
"drinks",0.08
"easily",0.08
"experience",0.08
"fast",0.08
"form",0.08
"full",0.08
"high",0.08
"hotels",0.08
"just",0.08
"least",0.08
"little",0.08
"locals",0.08
"looking",0.08
"made",0.08
"modern",0.08
"music",0.08
"night",0.08
"numerous",0.08
"provide",0.08
"rest",0.08
"run",0.08
"serves",0.08
"services",0.08
"serving",0.08
"stores",0.08
"style",0.08
"tend",0.08
"though",0.08
"time",0.08
"tourist",0.08
"travel",0.08
"typical",0.08
"use",0.08
"used",0.08
"visitors",0.08
"whole",0.08
"will",0.08
"without",0.08
"addition",0.07
"budget",0.07
"can",0.07
"clubs",0.07
"delicious",0.07
"due",0.07
"european",0.07
"extremely",0.07
"fairly",0.07
"fine",0.07
"free",0.07
"fresh",0.07
"highly",0.07
"however",0.07
"huge",0.07
"keep",0.07
"less",0.07
"list",0.07
"locations",0.07
"look",0.07
"might",0.07
"network",0.07
"option",0.07
"parking",0.07
"pay",0.07
"people",0.07
"plenty",0.07
"preserved",0.07
"public",0.07
"recent",0.07
"sometimes",0.07
"taste",0.07
"times",0.07
"top",0.07
"two",0.07
"work",0.07
