"","widely"
"spoken",0.29
"language",0.23
"understood",0.19
"languages",0.18
"countries",0.17
"english",0.17
"common",0.15
"foreign",0.15
"generally",0.15
"speak",0.15
"visa",0.15
"visas",0.15
"currency",0.14
"especially",0.14
"legal",0.14
"official",0.14
"often",0.14
"accepted",0.13
"considered",0.13
"passport",0.13
"political",0.13
"regions",0.13
"although",0.12
"avoid",0.12
"cards",0.12
"cities",0.12
"citizens",0.12
"dialects",0.12
"eu",0.12
"risk",0.12
"sim",0.12
"taught",0.12
"tipping",0.12
"usually",0.12
"alcohol",0.11
"apply",0.11
"bottled",0.11
"consumed",0.11
"country's",0.11
"drivers",0.11
"embassy",0.11
"even",0.11
"exchange",0.11
"insurance",0.11
"money",0.11
"parts",0.11
"people",0.11
"prepaid",0.11
"regarded",0.11
"rule",0.11
"similar",0.11
"sometimes",0.11
"widespread",0.11
"able",0.1
"accept",0.1
"always",0.1
"arabic",0.1
"areas",0.1
"capital",0.1
"card",0.1
"certain",0.1
"dialect",0.1
"discuss",0.1
"dollars",0.1
"drugs",0.1
"due",0.1
"educated",0.1
"ethnic",0.1
"european",0.1
"exception",0.1
"extremely",0.1
"foreigners",0.1
"government",0.1
"illegal",0.1
"laws",0.1
"make",0.1
"may",0.1
"offices",0.1
"phones",0.1
"police",0.1
"rarely",0.1
"rate",0.1
"safe",0.1
"smaller",0.1
"tend",0.1
"tourist",0.1
"valid",0.1
"women",0.1
"airlines",0.09
"almost",0.09
"among",0.09
"another",0.09
"aware",0.09
"brands",0.09
"carry",0.09
"cheaper",0.09
"coins",0.09
"commonly",0.09
"compared",0.09
"credit",0.09
"crime",0.09
"crossings",0.09
"cultural",0.09
"customary",0.09
"dish",0.09
"divided",0.09
"domestic",0.09
"drink",0.09
"driving",0.09
"drunk",0.09
"eaten",0.09
"elsewhere",0.09
"expect",0.09
"expensive",0.09
"influence",0.09
"keep",0.09
"law",0.09
"least",0.09
"lesser",0.09
"like",0.09
"likely",0.09
"major",0.09
"majority",0.09
"mobile",0.09
"much",0.09
"muslim",0.09
"nationals",0.09
"normally",0.09
"notes",0.09
"numbers",0.09
"obtain",0.09
"overseas",0.09
"passports",0.09
"problems",0.09
"refuse",0.09
"related",0.09
"religion",0.09
"require",0.09
"respect",0.09
"rules",0.09
"security",0.09
"situation",0.09
"speakers",0.09
"standard",0.09
"strong",0.09
"throughout",0.09
"travel",0.09
"typically",0.09
"understand",0.09
"use",0.09
"violent",0.09
"wear",0.09
"without",0.09
"words",0.09
"acceptable",0.08
"amount",0.08
"applies",0.08
"ask",0.08
"atms",0.08
"bills",0.08
"called",0.08
"careful",0.08
"cases",0.08
"cheap",0.08
"coconut",0.08
"culture",0.08
"customs",0.08
"danger",0.08
"despite",0.08
"different",0.08
"difficult",0.08
"drinking",0.08
"eastern",0.08
"economic",0.08
"embassies",0.08
"europe",0.08
"everywhere",0.08
"expected",0.08
"financial",0.08
"gsm",0.08
"health",0.08
"heavy",0.08
"highly",0.08
"however",0.08
"identity",0.08
"instead",0.08
"issued",0.08
"know",0.08
"knowledge",0.08
"known",0.08
"larger",0.08
"legally",0.08
"locals",0.08
"many",0.08
"mean",0.08
"men",0.08
"might",0.08
"mixed",0.08
"must",0.08
"nations",0.08
"networks",0.08
"never",0.08
"note",0.08
"others",0.08
"pay",0.08
"politics",0.08
"problem",0.08
"recent",0.08
"relations",0.08
"rest",0.08
"roads",0.08
"rural",0.08
"sensitive",0.08
"serious",0.08
"shares",0.08
"speaking",0.08
"standards",0.08
"stations",0.08
"still",0.08
"strict",0.08
"sure",0.08
"tourists",0.08
"travellers",0.08
"trying",0.08
"uncommon",0.08
"unless",0.08
"unlike",0.08
"used",0.08
"using",0.08
"varies",0.08
"vary",0.08
"wise",0.08
"work",0.08
"world",0.08
"arrival",0.07
"asia",0.07
"become",0.07
"becoming",0.07
"british",0.07
"buying",0.07
"care",0.07
"carrier",0.07
"case",0.07
"cash",0.07
"charge",0.07
"christian",0.07
"debit",0.07
"dominant",0.07
"emergency",0.07
"encounter",0.07
"entry",0.07
"except",0.07
"find",0.07
"flights",0.07
"foreigner",0.07
"hospitals",0.07
"imported",0.07
"issue",0.07
"largely",0.07
"less",0.07
"longer",0.07
"made",0.07
"malaysia",0.07
"means",0.07
"medical",0.07
"mind",0.07
"minority",0.07
"native",0.07
"network",0.07
"notably",0.07
"paying",0.07
"popular",0.07
"prepared",0.07
"prices",0.07
"proof",0.07
"quite",0.07
"reliable",0.07
"republic",0.07
"rice",0.07
"say",0.07
"sense",0.07
"since",0.07
"someone",0.07
"spanish",0.07
"states",0.07
"tap",0.07
"therefore",0.07
"ubiquitous",0.07
"unlikely",0.07
"useful",0.07
"vegetables",0.07
"virtually",0.07
"world's",0.07
"written",0.07
