"","willing"
"'re",0.11
"drivers",0.11
"help",0.11
"ask",0.1
"exchange",0.1
"find",0.1
"likely",0.1
"money",0.1
"paid",0.1
"pay",0.1
"sure",0.1
"will",0.1
"always",0.09
"avoid",0.09
"buying",0.09
"driver",0.09
"expensive",0.09
"higher",0.09
"let",0.09
"make",0.09
"may",0.09
"might",0.09
"someone",0.09
"try",0.09
"usually",0.09
"asking",0.08
"aware",0.08
"better",0.08
"charge",0.08
"currency",0.08
"dollars",0.08
"even",0.08
"give",0.08
"know",0.08
"leave",0.08
"need",0.08
"numbers",0.08
"offer",0.08
"often",0.08
"price",0.08
"prices",0.08
"rate",0.08
"refuse",0.08
"sometimes",0.08
"stay",0.08
"taxis",0.08
"wait",0.08
"want",0.08
"cards",0.07
"common",0.07
"difficult",0.07
"embassy",0.07
"especially",0.07
"expect",0.07
"friendly",0.07
"police",0.07
"prepaid",0.07
"share",0.07
"sim",0.07
"spend",0.07
"tell",0.07
"unless",0.07
"without",0.07
