"","wines"
"wine",0.39
"vineyards",0.27
"wineries",0.26
"winery",0.25
"vineyard",0.24
"tasting",0.23
"grapes",0.22
"cellars",0.19
"grape",0.17
"cellar",0.16
"produced",0.12
"taste",0.12
"aged",0.11
"di",0.11
"producer",0.11
"sparkling",0.11
"estate",0.1
"producing",0.1
"red",0.1
"varieties",0.1
"bottle",0.09
"cheese",0.09
"excellent",0.09
"quality",0.09
"sample",0.09
"selection",0.09
"beers",0.08
"dessert",0.08
"made",0.08
"medieval",0.08
"menu",0.08
"soil",0.08
"tours",0.08
"typical",0.08
"white",0.08
"dishes",0.07
"grown",0.07
"list",0.07
"noble",0.07
