"","within"
"distance",0.2
"walking",0.2
"easy",0.11
"areas",0.1
"boundaries",0.1
"often",0.1
"services",0.1
"well",0.1
"including",0.09
"major",0.09
"many",0.09
"number",0.09
"outside",0.09
"shopping",0.09
"travel",0.09
"available",0.08
"avoid",0.08
"bars",0.08
"become",0.08
"charge",0.08
"common",0.08
"especially",0.08
"generally",0.08
"lines",0.08
"located",0.08
"locations",0.08
"offer",0.08
"offers",0.08
"options",0.08
"recent",0.08
"routes",0.08
"short",0.08
"stations",0.08
"throughout",0.08
"traffic",0.08
"variety",0.08
"always",0.07
"area",0.07
"centre",0.07
"different",0.07
"due",0.07
"everything",0.07
"experience",0.07
"found",0.07
"free",0.07
"greater",0.07
"include",0.07
"large",0.07
"limits",0.07
"minute",0.07
"minutes",0.07
"mobile",0.07
"modern",0.07
"must",0.07
"network",0.07
"operate",0.07
"parking",0.07
"range",0.07
"service",0.07
"serving",0.07
"stores",0.07
"two",0.07
