"","world"
"heritage",0.49
"unesco",0.29
"war",0.27
"inscribed",0.18
"ii",0.16
"capital",0.13
"largest",0.13
"cultural",0.12
"language",0.12
"site",0.12
"cities",0.11
"famous",0.11
"german",0.11
"list",0.11
"regions",0.11
"second",0.11
"world's",0.11
"european",0.1
"languages",0.1
"parts",0.1
"region",0.1
"ancient",0.09
"banner",0.09
"class",0.09
"countries",0.09
"especially",0.09
"europe",0.09
"important",0.09
"national",0.09
"official",0.09
"oldest",0.09
"part",0.09
"since",0.09
"spoken",0.09
"unique",0.09
"almost",0.08
"among",0.08
"baroque",0.08
"became",0.08
"biggest",0.08
"century",0.08
"country's",0.08
"culture",0.08
"destroyed",0.08
"domestic",0.08
"english",0.08
"even",0.08
"experience",0.08
"germans",0.08
"germany",0.08
"highest",0.08
"home",0.08
"impressive",0.08
"known",0.08
"least",0.08
"listed",0.08
"military",0.08
"million",0.08
"often",0.08
"one",0.08
"roman",0.08
"sites",0.08
"still",0.08
"together",0.08
"trade",0.08
"used",0.08
"vast",0.08
"widely",0.08
"airports",0.07
"beautiful",0.07
"different",0.07
"far",0.07
"first",0.07
"former",0.07
"historical",0.07
"major",0.07
"middle",0.07
"modern",0.07
"names",0.07
"northern",0.07
"polish",0.07
"renowned",0.07
"time",0.07
"years",0.07
