"","worth"
"well",0.2
"definitely",0.17
"'s",0.15
"good",0.15
"visit",0.14
"best",0.13
"checking",0.13
"expensive",0.13
"little",0.13
"try",0.13
"bit",0.12
"cheap",0.12
"even",0.12
"find",0.12
"look",0.12
"nice",0.12
"prices",0.12
"quite",0.12
"really",0.12
"see",0.12
"visiting",0.12
"'re",0.11
"better",0.11
"especially",0.11
"excellent",0.11
"expect",0.11
"food",0.11
"get",0.11
"just",0.11
"make",0.11
"much",0.11
"price",0.11
"sure",0.11
"walk",0.11
"want",0.11
"will",0.11
"although",0.1
"ask",0.1
"cheaper",0.1
"day",0.1
"friendly",0.1
"might",0.1
"night",0.1
"pay",0.1
"place",0.1
"seeing",0.1
"staff",0.1
"streets",0.1
"though",0.1
"top",0.1
"trip",0.1
"usually",0.1
"views",0.1
"without",0.1
"'ll",0.09
"always",0.09
"around",0.09
"avoid",0.09
"bars",0.09
"buy",0.09
"certainly",0.09
"check",0.09
"cost",0.09
"feel",0.09
"floor",0.09
"generally",0.09
"give",0.09
"go",0.09
"great",0.09
"hard",0.09
"least",0.09
"like",0.09
"looking",0.09
"may",0.09
"modern",0.09
"money",0.09
"music",0.09
"offer",0.09
"often",0.09
"old",0.09
"outside",0.09
"priced",0.09
"probably",0.09
"real",0.09
"right",0.09
"slightly",0.09
"still",0.09
"taxis",0.09
"tend",0.09
"time",0.09
"able",0.08
"almost",0.08
"another",0.08
"atmosphere",0.08
"back",0.08
"beer",0.08
"behind",0.08
"busy",0.08
"buying",0.08
"charge",0.08
"compared",0.08
"decent",0.08
"difficult",0.08
"drink",0.08
"drinks",0.08
"easy",0.08
"english",0.08
"fantastic",0.08
"far",0.08
"getting",0.08
"going",0.08
"huge",0.08
"impressive",0.08
"know",0.08
"large",0.08
"less",0.08
"local",0.08
"locals",0.08
"long",0.08
"lovely",0.08
"makes",0.08
"meal",0.08
"need",0.08
"next",0.08
"note",0.08
"number",0.08
"opposite",0.08
"paying",0.08
"places",0.08
"pretty",0.08
"quality",0.08
"quiet",0.08
"range",0.08
"rather",0.08
"reasonably",0.08
"recently",0.08
"run",0.08
"seem",0.08
"set",0.08
"shops",0.08
"short",0.08
"side",0.08
"simply",0.08
"something",0.08
"sometimes",0.08
"spend",0.08
"taking",0.08
"tickets",0.08
"tourist",0.08
"trying",0.08
"unless",0.08
"value",0.08
"walking",0.08
"anything",0.07
"close",0.07
"consider",0.07
"crowded",0.07
"different",0.07
"dishes",0.07
"driver",0.07
"drivers",0.07
"every",0.07
"extra",0.07
"extremely",0.07
"fairly",0.07
"finding",0.07
"however",0.07
"journey",0.07
"keep",0.07
"likely",0.07
"lot",0.07
"menu",0.07
"mind",0.07
"ones",0.07
"option",0.07
"perhaps",0.07
"pleasant",0.07
"plenty",0.07
"pubs",0.07
"ride",0.07
"sell",0.07
"selling",0.07
"serve",0.07
"start",0.07
"stay",0.07
"staying",0.07
"ticket",0.07
"tourists",0.07
"use",0.07
"usual",0.07
"view",0.07
"waiting",0.07
"watch",0.07
"way",0.07
"work",0.07
"young",0.07
