"","years"
"ago",0.25
"recent",0.17
"still",0.13
"age",0.12
"first",0.12
"million",0.12
"built",0.11
"history",0.11
"last",0.11
"oldest",0.11
"ancient",0.1
"became",0.1
"building",0.1
"hundred",0.1
"later",0.1
"now",0.1
"since",0.1
"back",0.09
"become",0.09
"came",0.09
"formed",0.09
"known",0.09
"life",0.09
"made",0.09
"old",0.09
"opened",0.09
"original",0.09
"period",0.09
"started",0.09
"today",0.09
"used",0.09
"work",0.09
"according",0.08
"almost",0.08
"began",0.08
"called",0.08
"children",0.08
"citizens",0.08
"collection",0.08
"cultural",0.08
"designed",0.08
"due",0.08
"early",0.08
"even",0.08
"founded",0.08
"human",0.08
"hundreds",0.08
"important",0.08
"level",0.08
"lived",0.08
"modern",0.08
"people",0.08
"present",0.08
"result",0.08
"thought",0.08
"year",0.08
"common",0.07
"countries",0.07
"discovered",0.07
"era",0.07
"every",0.07
"exhibition",0.07
"experience",0.07
"following",0.07
"foreign",0.07
"found",0.07
"huge",0.07
"impact",0.07
"living",0.07
"many",0.07
"name",0.07
"often",0.07
"older",0.07
"rebuilt",0.07
"remains",0.07
"seen",0.07
"serious",0.07
"spent",0.07
"thousands",0.07
"visitors",0.07
"without",0.07
"world",0.07
"young",0.07
